,angle
0,62.48194979491658
1,62.715444073196196
2,63.173937360092566
3,64.30868798044845
4,62.53198689210945
5,62.37977495778192
6,62.338153872600124
7,62.7329553819412
8,63.08509405095779
9,62.83155946403716
10,62.436899351608204
11,62.391029228955176
12,62.874206821280204
13,62.65791988664781
14,62.36888369102527
15,62.6320986942151
16,62.26507522384693
17,61.87730661034229
18,62.16803329459899
19,62.757193551338005
20,60.94833163698202
21,62.93482387444102
22,62.58447940878219
23,62.56666071151104
24,62.460112257137844
25,62.45205626442359
26,62.67810348543424
27,62.10865753374252
28,61.61318195727578
29,61.60623149170208
30,62.37733924873938
31,62.40173925544951
32,62.97571804899834
33,62.50213223636876
34,62.357119240752915
35,62.76666144932673
36,64.39781976402766
37,62.6565557726378
38,62.784131400658836
39,62.51887614355868
40,61.62250641934971
41,62.996805592452084
42,62.78993340966001
43,61.1798404375312
44,61.55320752619317
45,61.590715025772184
46,62.540450247690025
47,62.529785090068984
48,61.88081033186269
49,62.00341437546416
50,62.69272881421069
51,64.02938775803456
52,63.453492635059455
53,61.5965338150748
54,62.777475367436764
55,60.914827686237004
56,60.97940596276515
57,60.98054996093583
58,61.06679926724252
59,61.94311161687879
60,62.31401211445702
61,62.17315267397181
62,62.003196836045426
63,62.3252301079426
64,63.834090923511795
65,62.93744501690635
66,61.665068960061994
67,62.44904464822079
68,61.18118256588373
69,61.08100031319614
70,61.62716403167174
71,61.351043826501524
72,62.00177344676465
73,62.5935423731947
74,62.287639645861766
75,62.60473886305308
76,63.07068814126959
77,63.11043901420472
78,62.07768941794511
79,64.21602494787518
80,64.32023343671644
81,64.33991466328004
82,61.535780449678775
83,63.11185536543185
84,62.33134277428044
85,62.35779147229312
86,62.21545430011965
87,62.536442276156
88,62.642586733460284
89,62.60582597697966
90,62.59172721635562
91,62.04064444029814
92,62.49809832527956
93,62.642796937581075
94,61.898405138527046
95,61.867835046683986
96,62.226168784533094
97,62.16185756414276
98,62.60393682069099
99,62.73031059845459
100,63.274874593191704
101,62.52207612142418
102,62.734494242243194
103,64.26763207377502
104,63.87418227630758
105,62.44616110940243
106,61.85536146386564
107,61.500469854165885
108,61.6711495504093
109,62.555687048601065
110,61.64862422530589
111,62.394732298322126
112,60.96133149732272
113,62.47652341251109
114,62.65540067632539
115,62.485567485332496
116,62.33058661787016
117,62.4968697958777
118,62.84362901876965
119,62.46699871986677
120,62.50278811679428
121,62.59018021938076
122,62.027286986033566
123,62.47395613172122
124,62.455225085406624
125,62.612489476681006
126,61.99424660861756
127,61.74021612547677
128,62.34090012185966
129,64.63249151939733
130,63.27381313065539
131,61.28526028978084
132,62.41978445715363
133,62.637633289773554
134,62.55502592548265
135,62.52506556766935
136,62.27041989232587
137,62.12001560652846
138,62.398554633138126
139,62.61376362063551
140,62.3963362656936
141,62.321765800818824
142,62.24315976932742
143,62.604513561659985
144,62.40530200864924
145,62.580313574371374
146,62.437573755737006
147,62.64312066624326
148,62.42446196724779
149,62.43056274421152
150,61.90874046058312
151,62.41501714300953
152,62.426651197829244
153,62.39935112750575
154,63.7680728994342
155,62.392617531842866
156,62.42766013623053
157,66.28991597289622
158,62.3862025005147
159,62.61167657158193
160,62.69339263627684
161,62.019048571029145
162,62.9051926110164
163,62.18540493320798
164,63.04443596334815
165,62.5729912629505
166,62.365871989963104
167,64.28100673232451
168,61.8018426760761
169,62.65291308127818
170,62.4549396608028
171,62.34214595147892
172,64.27729971781963
173,62.22358900941827
174,62.138513712535534
175,62.66288314380521
176,62.275531242509636
177,62.47467693849086
178,62.57673241178137
179,59.72483658002526
180,62.39254673006277
181,62.41127277053799
182,62.40113802821799
183,62.40221785226393
184,62.42076359460708
185,60.450130801766214
186,62.60073786440566
187,62.786240662257974
188,63.768931369986895
189,63.033801549504794
190,62.398753278153684
191,61.554015476670045
192,62.717554877922176
193,63.02846665780632
194,62.56699476341072
195,62.50173429700526
196,62.37509078679997
197,61.59871734947434
198,61.48660778953521
199,62.348687495746226
200,62.106708543860194
201,62.4549429505077
202,62.873337381077484
203,61.69058476437618
204,62.22745134991549
205,62.51934451116382
206,62.249892893259734
207,62.78418431435825
208,64.73684256895575
209,62.3143358933009
210,62.29910933084729
211,62.43265417698681
212,62.4163618492603
213,62.45438505914311
214,62.354740047381824
215,62.25653188383107
216,62.4433231114076
217,64.256406520717
218,64.08798424657897
219,62.09867172659882
220,62.42196960720711
221,63.74476164793241
222,62.395800166643916
223,64.36025721811227
224,61.80137989380105
225,61.88210614072123
226,61.94150765356326
227,62.4764038810688
228,63.78293202495973
229,63.95341684869275
230,62.508866202868326
231,62.47456412124946
232,61.96215431770066
233,64.78133924002314
234,64.48037270481603
235,62.194351866355625
236,62.094597388116945
237,62.18594791118452
238,62.159532757457896
239,62.12343190630887
240,62.104559487244934
241,62.071253467638954
242,62.102693984803224
243,62.114027577582874
244,62.10140984390564
245,62.85055874364993
246,61.82738747833384
247,62.625946671696006
248,62.23124240858471
249,62.67350727007678
250,62.23954587417391
251,62.350238913167054
252,62.222305443521385
253,62.54144107090091
254,62.41859648496968
255,61.590614456137324
256,62.04259765278636
257,62.3059064139748
258,62.19158154205645
259,62.296628403526704
260,61.98040732710012
261,62.75168856546646
262,62.25491218660343
263,62.280381094105046
264,62.36035023909943
265,62.63548729860537
266,62.688710244230364
267,62.58383010167018
268,62.01420792189776
269,62.43774178241779
270,63.11851215913875
271,62.39567232784388
272,62.51927599732234
273,61.95512806897909
274,62.47353284025002
275,62.42898447318342
276,63.41267169864059
277,62.56776505152642
278,62.50213686024876
279,61.23801924053133
280,61.707892513491835
281,62.63651503485297
282,63.69698290510549
283,61.68008644863191
284,59.798093709340016
285,62.54858050598843
286,62.49975393153264
287,63.127133219953045
288,62.2324335652173
289,62.54706082772493
290,62.121684723869265
291,62.5310221397707
292,62.56443948225526
293,62.48217992996431
294,62.51469602449625
295,59.604062154602985
296,62.5301068378298
297,64.52923925639986
298,60.43647143451953
299,61.25599277578
300,63.650671959067466
301,61.88583913663415
302,62.15282744410142
303,62.44882384789529
304,61.55700606989819
305,62.81184892032095
306,62.29273884271997
307,64.76854258550964
308,62.56032619935025
309,64.14100738568564
310,62.13826257584012
311,61.448379374229745
312,62.24866808110457
313,62.16087657785293
314,62.376504951809125
315,66.64660437322162
316,62.51891119399023
317,62.51504932832812
318,65.11070301835575
319,65.42700923371399
320,64.7525767000402
321,64.54134697917858
322,64.72207928252739
323,59.02332799584067
324,62.333553971212
325,62.69613448148455
326,62.80089458641507
327,62.42281850106001
328,63.1374994082827
329,63.04482295258029
330,62.19336097039862
331,62.572119683343196
332,62.394764370114075
333,62.93845052244833
334,62.45859121510156
335,62.52410472476162
336,61.804639955213396
337,62.519104329416315
338,61.90636236488924
339,58.958161052443856
340,58.120127690109584
341,58.92745414339369
342,63.531155076730755
343,63.69851758089349
344,57.629415292192306
345,60.309294474317305
346,64.26416913403403
347,61.44958903925423
348,58.163906557511005
349,61.179742686027694
350,61.42462916086777
351,64.74365293350178
352,62.88601262563816
353,58.79784129592189
354,58.946553137604894
355,61.132301979661804
356,62.91607971536717
357,59.5467230834383
358,64.63036561890807
359,58.99333612944493
360,63.89551924681519
361,59.51465874520582
362,60.136278480581865
363,58.97669833997972
364,59.87072030902294
365,57.34224022817293
366,61.105436240352326
367,58.840322068900115
368,61.1316589770593
369,61.684449737752935
370,59.464803868275766
371,58.3051675386846
372,58.954281882007045
373,59.489749344519794
374,60.401876208597876
375,58.1166340918333
376,59.596420053320266
377,59.386693871323125
378,59.39813273419223
379,57.96296803571987
380,57.38568445948607
381,58.744892002963795
382,58.48528249739741
383,57.33371312202317
384,58.54045586926817
385,58.078795425490824
386,58.576803630806964
387,58.474352461663116
388,58.25717465591898
389,64.19126895636035
390,63.81595877246122
391,62.310165132765185
392,62.49860725342133
393,62.59662886538912
394,63.809482188056876
395,62.824832383692325
396,63.07082396178209
397,61.864833883822975
398,61.844378835187534
399,62.39078296404636
400,62.59419386672802
401,62.51844783727143
402,62.46561861205931
403,62.438765009719276
404,62.643431064464615
