,angle
0,65.04438155587242
1,65.98838902837505
2,69.17048283711055
3,75.27668321153435
4,80.16841058004532
5,83.69777919682873
6,87.17481085193967
7,90.87589748980876
8,95.43172382834081
9,97.98212837093571
10,62.47752791559686
11,61.19958284338796
12,59.350722327375294
13,58.79057922178897
14,56.75174623831057
15,57.43837731757081
16,58.78358988112739
17,56.25592787213592
18,56.21112656406824
19,56.07159898553027
20,66.81277681054655
21,68.8986831469206
22,71.94536213399893
23,78.71133975294396
24,80.49088146504893
25,83.91319809614927
26,86.40757117963787
27,91.33739250591117
28,93.71851435683527
29,97.27314703145798
30,62.66224948557094
31,62.80098284482301
32,58.052493602874954
33,58.32216497955768
34,56.35176078161291
35,56.145614540718114
36,54.77019180978601
37,50.038375723463226
38,51.753459467647176
39,52.03417308442514
40,64.0561020354192
41,69.05774746571674
42,70.05490352733298
43,74.12802098934726
44,73.71347501954295
45,74.81112292745897
46,83.20188983576271
47,85.11318661191328
48,84.83010141905632
49,86.17203809492916
50,66.20527531480477
51,67.87054577664942
52,71.14506847327799
53,74.90384699679483
54,79.52146353606409
55,83.81938192881441
56,89.53658207971918
57,93.59273622608833
58,97.13831477342461
59,98.4937078655744
60,64.42437504336576
61,70.79932446770387
62,74.83193407188378
63,78.30330228092713
64,80.44201811631955
65,85.55917707047365
66,88.42117103282601
67,92.96175226619671
68,97.85178762818892
69,101.16514637391306
70,63.62107689904447
71,65.47573171321073
72,66.92500234746427
73,66.87525533992167
74,69.13299507300115
75,71.64015422849978
76,72.0003015852202
77,73.85889787463682
78,80.21660520004207
79,79.43053013204607
80,60.32834633936376
81,59.97814151841375
82,60.262888427763805
83,57.54934411328242
84,57.59436029888794
85,54.92370520321712
86,53.62062899823449
87,54.32033352956613
88,55.0760637082292
89,54.13190026442602
90,65.76922867012557
91,71.14010636209638
92,72.31435361833505
93,77.2460996157231
94,80.18177567673075
95,81.22335908709856
96,87.38358377867903
97,93.00897264450309
98,97.8007456596906
99,102.47836756120883
100,62.790189637897704
101,61.51561909855428
102,61.58232099637971
103,63.212648658708275
104,63.411534287575904
105,62.166969566603065
106,61.331983010940384
107,62.72033436350268
108,64.02760414993074
109,62.645819207679054
110,65.46796347496833
111,70.95409671100145
112,76.11866715353409
113,81.54535003010432
114,83.59429761770032
115,91.45241679630011
116,90.80312697726005
117,95.79522723397521
118,99.06227224075278
119,106.28525069476692
120,63.06286719525505
121,62.74096261683135
122,63.14943383330283
123,64.14991914301939
124,64.13036607473755
125,65.62968071727383
126,64.62088279764629
127,64.62200655048386
128,68.78049633639753
129,71.34311479798208
130,62.050976659719595
131,60.82530499365771
132,59.64764905106999
133,63.87398402201151
134,65.22094850972279
135,63.556742880588395
136,61.59287522081945
137,66.33411704265924
138,68.5697276133877
139,67.16965820304559
140,62.268411566859335
141,61.4965385131208
142,62.423981961271245
143,61.73008819694315
144,61.55035193144558
145,61.93825846787554
146,60.74536508847868
147,64.03648248663355
148,63.69879883799508
149,66.58553488420293
150,66.3507238660508
151,69.52642939484902
152,72.98048477012863
153,78.70517266461866
154,83.24706953697064
155,84.78653601304104
156,90.90385727674429
157,100.40364895222952
158,102.9215661585389
159,106.62594454840102
160,64.18267464709231
161,67.809364724877
162,70.69519752711783
163,72.1771118239138
164,73.06583062177455
165,76.14082888312173
166,77.465570301551
167,77.82453177484273
168,81.47493892658949
169,80.74993685179801
170,63.86460706771693
171,62.85987303131201
172,62.65964351113538
173,60.45961010905068
174,59.6991523098092
175,60.13210729737112
176,62.279722647339796
177,64.02787675157803
178,61.11448069140238
179,62.33437513482526
180,65.4027391917318
181,69.67447234639613
182,71.44411703039545
183,79.72639411833501
184,84.98905747579957
185,88.80367827357095
186,94.45537410439806
187,100.65485835025312
188,102.47864665382504
189,104.84274811908313
190,62.19376577530271
191,61.53873009149823
192,58.87529005610401
193,59.33115868286418
194,59.06417578729218
195,57.41316433158399
196,56.30274838806193
197,56.430574780264486
198,57.97490868876277
199,58.07521574489852
200,64.5723249840326
201,68.71486425048914
202,71.61724595434735
203,74.54018949660771
204,76.7924930205029
205,78.06812213190068
206,82.75046021679626
207,86.77010343604971
208,86.67773078035422
209,86.02670437889083
210,63.32117397485681
211,60.05400914849335
212,62.9107390343173
213,60.69058752945814
214,58.67480736643543
215,59.76817559298587
216,58.535083706641814
217,57.47612642714684
218,59.80428549077868
219,59.155991988393886
220,61.3198572575557
221,59.60571194268173
222,57.928486134149196
223,58.57135211895136
224,55.900949275937435
225,56.60004145651154
226,55.33509433639185
227,55.98705217763201
228,52.069856763456734
229,51.80581935359478
230,65.91254410788272
231,68.52646079525039
232,67.59334695400113
