#Frame             d1           d2           d3
     163      30.7587     157.7279     -58.9176
     164      14.0522     118.6412     -71.2982
     165      12.4045     105.8940     -88.2852
     166       8.4639     138.9572     -57.4125
     167      25.2793     138.4627     -45.9984
     168      12.7122     132.8814     -58.8520
     169      13.7027     129.9522     -62.3842
     170      24.4222     125.9607     -69.9859
     171      16.5709     124.9786     -66.6592
     172      27.2235      74.1685     -87.3594
     173      18.4932      75.5158     -90.9338
     174      33.2983      38.2887    -112.5394
     175      36.4001       5.1300    -106.5203
     176      43.7252      17.1978    -109.7844
     177      46.2653       5.7925    -113.5741
     178      37.3446      10.8038    -108.7037
     179      45.9697       9.5150    -111.5585
     180      26.9732      79.0004     -79.2195
     181      22.7309      78.0432     -83.4663
     182      24.3842      74.3165     -90.6723
     183      39.3088      71.4766     -90.6622
     184      22.0824      74.2655     -83.2858
     185      29.7754      74.1814     -75.1351
     186      16.3765      84.1544     -85.8573
     187      27.6262      64.2629     -89.4592
     188      35.0745      72.9688     -83.9084
     189      26.0004      75.0791     -86.9746
     190      35.6757      65.0867     -91.8072
     191      51.9325      -5.5104    -107.7812
     192      57.2817      26.1583    -110.5694
     193      41.9595      17.8322    -101.7530
     194      41.9733      21.1658    -102.9155
     195      34.7235      14.1866     -98.9298
     196      39.4604       4.8372    -113.2866
     197      66.1513     -96.1418     -75.2804
     198      42.3096    -111.0130     -78.9148
     199      52.5249    -105.8885     -64.6941
     200      50.8671     -96.7819     -64.8438
     201      50.2389    -103.2465     -84.2854
     202      49.2217    -108.1781     -67.9100
     203      64.8240     -78.9651     -76.2033
     204      46.2230    -103.2288     -74.0540
     205      50.9135    -110.3445     -58.7085
     206      61.4961     -93.1321     -69.8896
     207      47.2395    -111.8787     -65.7473
     208      24.1897    -171.2946     -49.5377
     209      33.0610    -168.1198     -48.8492
     210      36.1191    -161.9338     -47.1735
     211      21.7218    -171.3226     -52.1623
     212      34.5362     169.2615     -60.3586
     213      28.7551     166.4844     -51.2224
     214      13.7043     125.2280     -69.1144
     215      17.5193      99.1968     -81.6269
     216      26.9410      77.3785     -75.4860
     217      20.4376      85.9250     -78.8424
     218      25.8754      68.0106     -83.3088
     219      41.6325      62.6778     -96.1504
     220      37.3914      22.9218    -110.9627
     221      44.4868       5.7749     -94.6781
     222      49.6992      14.1655     -96.3435
     223      44.5132      -0.1783    -119.8135
     224      44.6504       8.5220    -114.5546
     225      28.5691      13.4375    -103.9594
     226      36.0388      27.7423    -115.6384
     227      39.4110      13.9430    -112.7899
     228      37.1582       7.9596    -107.3043
     229      46.9399       6.9385     -97.5373
     230      27.9234      69.9483     -89.9573
