Delta_44.2348	Delta_109.5944
0.140686	0.221945
0.184228	0.335245
0.185738	0.302291
0.303200	0.428745
0.196391	0.278802
0.224762	0.495234
0.150095	0.404377
0.244065	0.480713
0.158801	0.347560
0.166442	0.315142
0.266641	0.133396
0.103868	0.278361
0.243957	0.455292
0.238489	0.214592
0.286185	0.347263
0.241705	0.207579
0.194890	0.271297
0.207541	0.300188
-0.023349	0.728082
-0.264229	0.742296
-0.082025	1.044265
-0.009896	0.427833
0.023787	0.646107
-0.135542	0.937758
-0.196388	0.793455
-0.279537	1.120363
-0.363844	0.905164
-0.281598	0.797624
-0.408501	0.674163
-0.408950	0.720840
-0.329134	0.923677
-0.529678	0.943420
-0.457514	0.802185
-0.306609	0.758953
-0.427744	0.762182
0.045518	0.616990
0.153044	0.719173
0.067558	0.730982
0.212483	0.326960
0.177144	0.405281
0.151905	0.470825
0.123833	0.505617
0.154484	0.418809
0.195976	0.105437
0.122150	0.096904
0.185544	0.482624
0.323115	-0.008379
0.122852	0.712583
0.139661	0.389271
0.155532	0.609150
0.034585	-0.141480
0.159328	0.014645
0.107083	-0.027023
-0.036226	-0.001977
-0.196034	-0.231178
-0.149107	0.015553
-0.025929	-0.060886
-0.115031	-0.110059
0.011264	0.106774
-0.153861	0.164768
-0.154626	-0.057613
0.094164	-0.027480
0.205725	0.114919
0.115136	-0.133352
0.227015	0.507889
0.000565	0.734171
-0.184923	0.904690
0.098527	0.532613
0.110570	0.598494
0.135129	0.629189
0.066136	0.690688
-0.456648	0.311440
-0.307846	0.386779
-0.488142	0.400103
-0.478575	0.288348
-0.099636	0.576933
-0.394478	0.689742
-0.288759	0.635279
-0.324417	0.711038
-0.354305	0.825583
-0.507973	0.724378
-0.446754	0.646686
-0.585551	0.830543
-0.421967	0.513076
-0.374169	0.421425
-0.503060	0.808894
-0.380812	0.441006
-0.427393	0.423588
-0.129805	0.715622
-0.354934	1.066403
-0.305202	0.423436
-0.454931	0.316463
-0.290465	0.442745
-0.338428	0.780043
-0.322397	1.076369
-0.312676	0.779087
-0.395472	0.970028
-0.192580	0.724474
-0.184960	0.691918
-0.151753	0.750188
-0.037713	0.807786
-0.018792	0.901808
0.028896	0.611925
-0.225209	1.047887
-0.162839	0.878745
0.088000	0.973573
0.005541	0.687834
0.260714	0.686391
-0.060123	0.867628
0.042973	0.584680
0.065678	0.805976
-0.107146	0.890450
-0.095564	0.819767
-0.030154	0.837863
-0.034379	0.730904
0.031868	0.877792
0.009151	0.700954
-0.095930	0.744027
0.117942	0.420926
0.078568	0.419342
0.128919	0.356049
0.179563	0.519855
0.262016	0.113033
0.289917	0.320526
0.024044	0.340809
0.083072	0.935383
0.174371	0.645351
0.037793	0.764822
0.110116	0.721371
-0.120103	0.897036
-0.056123	0.649992
-0.013889	0.620328
0.167107	0.683539
-0.354000	0.679928
-0.286402	0.732907
-0.199278	0.927990
-0.497232	0.507276
-0.313719	0.654532
-0.475909	0.447871
-0.407121	0.466884
-0.436802	0.425674
-0.423340	0.326396
-0.439563	0.494588
-0.394743	0.385941
-0.445387	0.368359
-0.536636	0.338828
-0.162342	0.058800
0.058053	0.320399
-0.185436	-0.016296
-0.208567	0.093085
-0.246550	0.067211
-0.397699	0.488071
-0.468973	0.413667
-0.407239	0.282483
-0.309222	0.357988
-0.410789	0.214445
-0.355321	0.680849
-0.333302	0.423160
-0.384486	0.217142
-0.388371	0.295762
-0.363606	0.215873
-0.425007	0.231268
-0.409397	0.449141
-0.232897	0.535221
-0.373059	0.439406
-0.432068	0.535949
-0.387166	0.420555
-0.344463	0.402054
-0.356103	0.365847
-0.485214	0.454707
-0.336555	0.503617
-0.426037	0.345765
-0.485064	0.451798
-0.590085	0.532643
-0.498847	0.529432
-0.376625	0.395944
-0.373483	0.503210
-0.605902	0.719582
-0.414592	0.681324
-0.305935	0.669147
-0.570168	0.351387
-0.410545	0.799078
-0.353672	0.620426
-0.433786	0.885678
-0.375605	0.732859
-0.186131	0.946619
0.109633	0.654924
0.024312	0.674126
-0.023263	0.675785
0.115539	0.620875
0.074772	0.649205
0.071627	0.598831
0.141998	0.319587
0.011798	0.648770
0.061097	0.488266
0.114171	0.707860
0.219159	0.647390
0.069670	0.807588
-0.310843	0.706960
-0.199275	0.819299
-0.367051	0.862934
-0.357286	0.935069
-0.387407	0.852101
-0.505090	0.714222
-0.515260	0.981116
-0.376145	0.888421
0.106140	0.528264
0.046686	0.657167
0.086762	0.835894
0.072473	0.807295
-0.055215	0.464462
-0.163305	1.035609
0.067331	-0.079147
0.158574	-0.122185
0.007583	-0.060427
0.115323	-0.056390
0.091515	-0.141075
0.154559	0.021298
0.267501	-0.034208
0.025653	0.197549
0.026529	0.868992
0.010837	0.873087
-0.050047	0.887908
0.119063	0.732729
0.125220	0.652415
0.156928	0.714478
-0.044968	0.962361
-0.069101	0.912051
0.157039	0.450855
0.140981	0.817095
0.282649	0.660953
0.004807	0.908795
-0.067595	0.748059
-0.090602	0.863458
-0.095037	0.810847
-0.157263	0.905479
-0.358306	0.817891
0.031857	0.528994
0.082402	0.756126
-0.078575	0.839605
0.188450	0.609109
0.116637	0.638070
0.103777	0.671725
0.223685	0.686208
0.166518	0.478421
0.149624	0.584745
0.039528	0.746374
0.132333	0.765135
0.165818	0.658221
0.012537	0.759386
0.319057	0.144276
0.233511	0.082313
0.080723	0.021761
0.195808	0.168653
0.047293	-0.198711
-0.090439	0.001398
-0.086670	0.037835
-0.019185	-0.008364
-0.158753	0.020843
-0.030807	0.013231
-0.166853	0.155064
-0.108436	-0.136952
0.064528	-0.045269
0.090476	-0.226615
0.202991	0.187885
0.203985	0.066656
0.078563	0.083432
0.076955	-0.071962
0.127097	-0.058804
0.148713	-0.054219
0.101426	0.104893
0.240840	0.191845
0.119859	0.270486
0.335978	0.160740
0.234391	0.533172
0.141757	0.511430
-0.314117	0.710705
-0.385660	0.843575
-0.434837	0.832327
-0.431622	0.957622
-0.017888	0.661502
0.041183	0.540897
0.177469	0.545452
0.097798	0.183954
0.350752	0.151297
0.238300	0.230556
0.046136	0.589164
0.365557	0.059692
0.218854	0.175184
0.197243	0.322551
0.149131	0.345153
0.212845	0.037272
0.301178	0.190953
0.027693	0.277542
0.146648	0.430131
0.174145	0.211789
0.208466	0.278230
0.279427	0.310789
0.220634	0.247470
0.214227	0.657429
-0.008591	0.949503
-0.174208	1.003934
0.002978	0.982856
0.082959	0.611937
0.095328	0.725167
0.028721	0.715454
0.117007	0.787309
0.120845	0.545913
-0.130774	0.752232
0.124329	0.676952
0.212960	0.472124
0.178319	0.646334
0.223854	0.049464
0.097948	0.651229
-0.256803	0.983264
-0.168897	0.979835
0.019302	0.847734
-0.452878	0.746577
-0.407435	0.520930
-0.348410	0.634413
-0.392104	0.681480
-0.398611	0.543558
-0.435420	0.660080
-0.510912	0.430451
-0.422213	0.408726
-0.397670	0.393706
-0.323362	0.519855
-0.094504	0.014657
-0.195262	0.275069
-0.134108	0.081287
-0.205970	0.008200
-0.235750	1.025245
-0.015439	0.802705
-0.010669	0.703195
0.332723	0.115618
0.167888	0.192255
0.133052	0.253537
0.108659	0.239913
0.105259	0.525191
0.100023	0.154308
0.063256	0.302563
0.249065	0.062256
0.158663	0.467368
0.177390	0.142127
0.100658	0.336620
0.173500	0.224409
0.188764	0.199135
0.169473	0.181891
0.098775	-0.134247
0.024939	-0.027341
-0.438654	0.798071
-0.423658	1.081881
-0.222439	0.821076
0.118815	0.684443
-0.270660	0.880208
-0.429178	0.758852
-0.395366	0.659598
-0.478704	0.634244
-0.475007	0.559355
-0.446890	0.292713
-0.102940	0.090368
-0.326157	0.510647
-0.243906	0.524534
-0.381320	0.432908
-0.360824	0.434713
-0.460060	0.404545
-0.394903	0.569143
-0.286323	0.495824
-0.321638	0.391022
-0.193574	0.194688
-0.117914	0.090110
-0.098187	0.274991
-0.145367	0.135733
-0.304047	0.116663
-0.023810	0.241489
-0.239430	-0.010884
-0.182561	0.144220
-0.063954	0.122641
-0.098402	0.262883
-0.209642	0.163865
-0.098430	0.027117
-0.060059	0.057090
-0.161780	0.006599
-0.300921	0.301628
-0.125960	0.186604
-0.159335	0.195109
-0.270760	0.499845
-0.373528	0.562097
-0.180729	0.654053
-0.296024	0.523335
-0.126428	0.094288
0.136994	-0.011488
0.143536	-0.109861
0.066003	-0.220004
0.045029	-0.081423
0.052219	-0.057496
0.430742	0.113125
0.158418	0.154465
0.145110	0.530383
0.123810	0.551735
-0.219803	0.871511
-0.330977	0.879501
-0.343118	0.687661
-0.327354	0.970902
-0.329162	0.844092
-0.317418	0.613110
-0.352417	0.411805
-0.481864	0.527086
-0.384313	0.667005
-0.370720	0.443048
-0.232876	0.455807
-0.362486	0.649163
-0.398766	0.421998
-0.314299	0.245973
-0.257373	0.875235
-0.234616	0.805094
-0.163806	1.013569
-0.313564	0.742236
-0.428686	0.892924
-0.307876	1.069053
-0.305818	0.801628
-0.347080	0.782379
-0.343526	0.760679
-0.310246	0.863880
-0.296214	0.844869
-0.460467	0.895179
-0.296572	0.869026
-0.387943	0.764548
-0.482299	0.562092
-0.286255	0.620206
-0.350579	0.615021
-0.396520	0.692065
-0.320486	0.346844
-0.353553	0.361606
-0.280384	0.485479
-0.304911	0.673371
-0.323718	0.492740
-0.376572	0.516206
-0.163129	0.154676
-0.176235	0.164000
-0.151999	0.015034
-0.026187	0.212702
-0.232675	0.046438
-0.206525	0.126659
-0.140007	-0.003567
-0.042644	0.029510
-0.158998	0.004184
-0.164658	0.168347
-0.222498	-0.006503
0.087792	-0.044661
0.119758	0.465263
0.235784	0.133636
0.226334	0.245927
0.264829	0.346970
0.259742	0.124753
0.149809	0.171196
0.225043	0.298650
0.250474	0.539260
0.037563	0.519682
0.034907	0.722949
0.123707	0.724216
0.088144	0.811157
0.188747	0.610851
0.178308	0.716082
0.089511	0.651353
-0.194800	0.908439
-0.305921	0.592328
-0.208350	1.162281
-0.323012	0.918733
-0.292601	0.872014
-0.272814	0.659197
-0.300181	1.040066
-0.473998	0.991659
-0.340547	0.840004
-0.348659	0.883543
-0.233963	1.306142
-0.239700	0.793964
-0.001997	0.843923
-0.096333	0.840460
0.001630	0.957009
-0.311861	0.982863
-0.276163	0.886365
0.148974	0.717240
-0.101494	0.968879
-0.062378	0.877070
-0.282023	1.085569
-0.343924	0.798485
-0.223386	1.209677
-0.195695	1.112084
-0.322387	1.197064
-0.249568	1.005538
-0.363477	1.038443
-0.286829	0.898586
-0.139024	1.289500
-0.246121	0.845183
-0.233211	1.191821
-0.388353	1.080176
-0.439064	0.867422
-0.444851	0.679156
-0.439069	1.060919
-0.461533	0.546307
-0.378244	0.521007
-0.445024	0.509854
-0.495068	0.684790
-0.310154	0.611747
-0.336588	0.685145
-0.416500	0.262606
-0.209886	-0.034917
-0.143431	0.223599
-0.210174	-0.042120
-0.141756	0.134509
-0.168082	0.064338
-0.065397	0.136872
-0.260848	0.048607
0.195861	-0.082802
0.095939	-0.263409
0.109673	-0.131870
0.085439	-0.234359
0.218803	0.026847
0.121000	-0.093366
0.252254	0.128102
0.160603	0.156816
-0.145840	0.113745
-0.083699	-0.030850
0.099049	-0.041380
-0.050765	-0.104838
-0.204019	0.213935
0.005629	0.318029
-0.218829	0.227635
-0.105762	0.206490
-0.339625	0.582509
-0.363245	0.655739
-0.438170	0.589883
-0.398298	0.470862
-0.423490	0.492797
-0.411362	0.446396
-0.380953	0.414402
-0.125807	0.553496
-0.420246	0.446689
-0.413667	0.497723
-0.067614	0.768016
0.017523	0.502061
-0.085989	0.787725
-0.319198	0.855314
-0.423483	0.655923
-0.370038	0.918733
-0.229659	1.094070
-0.599205	0.840837
-0.270720	0.958889
0.116845	0.624243
0.061443	0.625027
-0.066220	0.827461
-0.106538	0.673666
-0.182413	0.876150
-0.009121	0.548531
0.025950	0.714295
0.300767	0.602566
0.022541	0.608300
0.082270	0.564951
0.365435	0.139649
0.231476	0.225102
0.442143	0.056467
0.294961	0.210536
0.093658	0.638092
-0.158019	0.808903
0.017813	0.798226
0.101322	0.627135
0.006229	0.877002
0.034208	0.666779
-0.068483	0.833407
0.109942	0.747212
0.236356	0.457409
0.132727	0.687981
0.172311	0.514860
0.249640	0.173789
0.192040	-0.047066
0.087806	-0.068605
0.146465	-0.035317
-0.014191	-0.167545
0.063916	-0.147274
0.102528	0.036816
0.052883	-0.254575
0.171102	0.055554
0.153994	-0.259359
0.188782	-0.226568
-0.001368	-0.146760
0.180046	0.307801
0.306927	0.065754
0.259023	0.159439
0.357805	0.220456
0.176165	0.249947
0.203149	0.044623
0.236508	-0.088628
0.432552	-0.141201
0.190265	0.172823
0.215965	0.319167
0.289196	0.078768
0.147969	0.137998
0.247043	0.092134
0.187516	0.328576
0.223353	-0.010472
0.239410	0.021276
0.457871	0.117677
-0.035331	0.293077
0.226273	0.258146
0.297540	0.241526
0.149552	0.013978
0.127084	0.087226
0.077618	-0.141581
-0.222938	0.008859
-0.230179	0.074142
-0.068923	0.299327
-0.081474	0.132647
-0.169566	0.156710
-0.285941	0.014249
-0.245062	0.154011
-0.241796	0.230919
-0.006037	-0.151557
-0.125079	0.114570
-0.063738	0.180832
-0.105715	-0.062600
-0.355063	0.068851
-0.066740	-0.072005
-0.268753	0.071305
-0.063115	0.178106
-0.223711	-0.020228
-0.271730	0.181762
-0.166250	-0.086916
-0.381466	0.141784
-0.108874	0.189663
-0.050737	-0.107596
0.105441	0.036027
0.019513	-0.376323
-0.003285	-0.267507
0.076697	-0.214120
0.115766	-0.066762
0.088675	-0.110341
0.031233	-0.056008
-0.025283	-0.307998
-0.030603	-0.344640
0.087738	0.290428
0.000757	1.108197
-0.123152	1.097456
-0.006648	0.779431
0.055636	0.608436
0.167257	0.504950
0.077074	0.629783
-0.098862	0.817940
-0.010238	0.791919
0.013767	0.780009
0.194807	0.623135
-0.451944	0.886793
-0.214197	0.837535
-0.302949	1.094152
-0.447953	1.126605
-0.359081	1.056638
-0.380443	1.071622
-0.243192	0.920234
-0.286424	1.230864
-0.442455	1.000100
-0.409864	1.156031
-0.450354	0.907433
-0.424906	0.981470
-0.403557	0.780017
-0.221746	0.792444
-0.203390	0.860556
0.084998	0.749973
0.154097	0.767645
-0.006323	0.821872
-0.005976	0.736559
0.111841	0.865521
-0.018640	0.774809
-0.075976	0.843849
0.272591	0.514602
0.036100	0.583594
0.147807	0.549740
0.072646	0.619587
-0.087722	0.856869
0.153306	0.712806
-0.139686	1.240800
-0.071297	0.702197
0.070091	0.240726
0.228059	0.064691
0.304378	0.144690
0.075732	-0.103716
0.014469	-0.024314
0.135506	0.050669
0.072874	-0.143874
0.014678	-0.182109
0.169081	-0.138652
0.012657	-0.159792
0.072183	-0.168318
0.072585	-0.151475
0.153121	-0.017897
0.124262	0.077686
0.015443	-0.146447
0.203806	-0.116450
0.067288	-0.155327
0.278518	-0.088682
0.168142	-0.141010
0.100788	-0.234457
-0.124070	0.251701
0.051693	0.236813
0.185265	0.013254
0.105048	-0.032425
0.029133	-0.043490
0.162022	0.078065
0.005664	-0.019982
0.219875	-0.031435
0.170599	0.005545
0.138357	-0.031894
0.193351	-0.124479
0.197631	-0.032645
0.171219	-0.089886
0.127606	-0.170620
0.175159	-0.214328
0.223982	-0.046431
0.049314	-0.074145
0.145208	-0.054763
-0.263424	0.287873
-0.191030	0.191311
-0.202851	0.140204
-0.159998	0.144974
-0.026620	0.114642
-0.080955	0.153079
-0.341381	0.111298
-0.164387	-0.006191
-0.150702	0.158059
-0.045836	0.287634
-0.265857	0.516576
-0.339372	0.483098
-0.443909	0.521168
-0.322315	0.747634
-0.219664	0.862177
-0.410130	0.407751
-0.314007	0.529856
-0.409795	0.528275
-0.410261	0.555097
-0.329461	0.975414
-0.298895	0.740178
-0.552175	0.657816
-0.453540	0.455447
-0.429918	0.337318
-0.534226	0.570845
-0.443249	0.302183
-0.449314	0.537762
-0.312856	0.202856
0.079828	-0.083956
-0.161385	0.067801
-0.371437	0.316552
-0.336079	0.347633
-0.463607	0.409213
-0.501047	0.332260
-0.420841	0.723828
-0.341947	0.781609
-0.355675	0.898417
-0.316001	0.909746
-0.180025	0.917045
-0.456624	0.772066
-0.458653	0.763777
-0.316351	0.817715
-0.246123	0.818336
-0.353892	0.750615
-0.284787	0.714470
-0.401377	0.838343
0.149992	0.607635
