Delta_44.2348	Delta_109.5944
0.255907	-0.005775
0.122053	-0.122101
-0.217473	0.080320
-0.172959	0.143243
-0.039905	0.118860
-0.324912	0.202547
-0.260754	0.348083
-0.322174	0.079217
-0.381655	0.328164
-0.090502	0.336075
-0.178758	0.078604
-0.022185	0.115806
-0.064445	-0.049955
-0.032011	0.240300
-0.153322	0.127814
-0.126398	0.188899
-0.481257	0.479383
-0.398186	0.739613
-0.193360	0.618503
-0.241723	0.944975
-0.035085	0.866694
-0.099328	0.753542
0.181247	0.807436
0.308754	0.594052
0.171454	0.576105
0.157942	0.548131
0.327926	0.567050
0.153423	0.723032
0.071784	0.769587
-0.015362	0.609158
-0.033763	0.757445
0.069190	0.595131
-0.104893	0.798483
0.011366	0.729888
0.067921	0.784885
-0.076316	1.027699
-0.005203	0.718831
-0.018923	0.707256
-0.023736	0.844394
-0.345340	0.548351
-0.227687	0.625535
-0.477714	0.427815
-0.336402	0.621541
-0.486343	0.507585
-0.402595	0.361739
-0.402658	0.480060
-0.520003	0.607971
-0.219233	0.094181
-0.240388	0.146241
-0.324310	0.462622
-0.191641	0.090450
-0.023225	-0.156477
0.126076	0.074937
0.148726	0.218147
0.181696	0.528735
0.202977	0.150920
0.230462	0.236510
0.311018	0.175046
0.374878	0.187677
0.170463	0.517464
0.408960	0.198809
0.099946	0.277465
0.367095	0.247838
0.219316	0.439065
0.289016	0.388692
0.198898	0.191286
-0.014718	0.787671
-0.156710	0.864631
-0.107474	0.847834
-0.255275	0.773902
-0.109956	0.851726
0.050145	0.697353
-0.035973	0.852597
-0.161970	0.944876
0.050731	0.545367
0.100344	0.700851
-0.073328	0.830522
0.076522	0.693445
0.260536	0.630017
-0.085319	0.835224
0.206115	0.428367
0.321896	0.438847
0.308173	0.335573
0.256837	0.371005
-0.014184	-0.203950
0.122306	-0.043476
0.276680	-0.127793
-0.193976	0.000829
-0.304403	-0.095166
-0.187029	0.095817
0.045740	-0.018904
0.069953	0.055477
0.063952	-0.105212
0.041685	0.064417
0.161162	0.095965
0.154870	0.176917
-0.047901	0.046511
0.173856	0.183270
0.010596	-0.067206
0.003464	-0.042216
0.315437	0.123737
0.273228	-0.068427
0.014621	-0.101843
0.109914	-0.045703
0.254315	-0.012399
0.120342	-0.004054
0.038769	-0.278281
-0.149775	-0.060285
0.093461	-0.241194
0.133825	-0.039209
0.110183	-0.076857
0.251521	-0.113459
0.077543	-0.214798
0.073538	-0.066848
0.220695	0.084116
0.207677	0.196128
0.136726	0.103660
0.068862	-0.177081
0.180197	0.152599
0.344250	0.268484
0.025881	0.821521
0.015631	0.870986
0.091474	0.649547
0.071646	0.480412
-0.307874	0.864982
-0.001803	0.826921
0.056659	0.903718
0.050382	0.724909
-0.110739	0.095836
-0.266978	0.099972
-0.230664	0.088075
-0.273956	0.180174
-0.229422	0.172727
-0.071248	0.098154
-0.243231	0.083561
0.064637	0.093178
-0.038038	0.051641
-0.023768	0.286199
0.077327	-0.216562
0.188934	-0.137312
0.031179	-0.200763
-0.004124	-0.109703
-0.388358	0.955723
-0.414908	0.377218
-0.354148	0.656605
-0.476944	0.823535
-0.466186	0.513830
-0.322444	0.549430
-0.253342	0.374230
-0.265660	0.280261
-0.143388	0.094471
-0.211139	0.217236
-0.128430	-0.037840
-0.251863	0.017130
-0.220400	0.285972
-0.514926	0.517094
-0.365884	0.469502
-0.426974	0.414125
-0.220992	0.101999
-0.252392	0.027054
-0.224551	-0.197385
0.108744	0.082142
0.029332	0.009065
0.064165	0.010184
0.448307	-0.023775
0.169211	0.387774
-0.170789	0.943645
0.200455	0.609399
-0.190714	0.767053
0.021761	0.628289
-0.014649	0.900496
0.135837	0.598946
0.173121	0.297781
0.215684	0.537335
0.146850	0.394354
0.428744	0.173528
0.142393	0.287707
0.149686	0.185021
0.260995	0.102625
0.259419	0.104257
0.262213	0.183525
0.215665	0.240965
0.126077	0.179413
0.209326	0.487603
0.327858	0.228174
0.259169	0.089872
0.034802	0.602833
-0.069778	0.818072
-0.520223	0.706129
-0.220646	0.744664
-0.507606	0.928281
-0.483702	0.775090
-0.368223	1.007922
-0.180765	0.779769
-0.389409	0.730534
-0.342009	0.972134
-0.380122	0.890299
-0.391493	0.609918
-0.487736	0.756923
-0.408685	0.848029
0.039415	0.810707
-0.176828	0.819090
0.045307	0.624392
0.134404	0.597843
0.115141	0.614841
-0.028154	0.904623
0.143843	0.746860
-0.096197	0.636639
0.039685	0.489533
0.065003	0.716740
0.080557	0.506844
0.137698	0.516233
0.012894	0.757014
-0.275437	0.878150
0.057247	0.779557
-0.180587	0.900735
0.048503	0.367926
0.078433	0.538602
0.179800	0.177933
0.149243	0.452557
0.301572	0.246999
0.294770	-0.027498
0.147185	-0.039387
0.031992	-0.135966
-0.039591	-0.089225
0.153369	0.637705
-0.020132	0.904578
-0.015561	0.746847
-0.408308	0.855412
-0.418457	0.776553
-0.273346	0.858034
-0.309819	0.609300
-0.447050	0.739063
-0.211162	0.897630
-0.422642	0.856227
-0.550232	0.796039
-0.092258	0.971168
0.170869	0.627519
-0.266866	0.764107
-0.351684	0.720413
-0.125877	0.872014
-0.480089	0.872932
-0.063472	0.674929
0.013935	0.697535
-0.143602	0.978343
-0.231232	0.969112
0.007131	0.639524
0.135291	0.482336
0.234003	0.429328
0.184286	0.456585
0.226968	0.277493
0.328832	0.643901
0.126505	0.550915
0.165520	0.067377
0.225608	0.051138
0.114960	-0.045574
-0.022482	-0.066080
0.011545	0.040743
-0.020892	-0.015673
0.075166	-0.040111
0.103187	0.044790
0.114960	-0.153509
-0.002883	-0.212447
0.144634	0.007295
0.108443	0.131144
-0.203802	-0.002407
-0.065900	0.195515
-0.295423	0.434522
-0.474024	0.499791
-0.458018	0.307457
-0.308565	0.318009
-0.427103	0.403609
-0.421539	0.626348
-0.419068	0.539623
-0.328883	0.401565
-0.254904	0.371373
-0.114986	-0.073133
0.002794	0.275809
-0.241798	0.221521
-0.115628	0.089659
-0.143325	0.150685
-0.147156	0.221693
-0.067661	-0.030240
0.088095	0.018066
-0.003567	-0.115799
0.120534	-0.139916
0.211478	-0.071180
0.022857	-0.211759
0.049595	-0.138015
0.135958	0.039408
0.201605	0.025262
0.182816	0.097831
0.168735	0.106186
0.030828	-0.092157
0.168749	-0.158910
0.121482	0.032023
0.291255	0.201266
0.186476	0.095421
0.229745	0.280481
0.391415	0.246200
0.338292	0.315131
0.134444	0.293660
0.169866	0.029643
0.195623	-0.086111
0.170129	0.028744
0.145777	-0.045431
0.235127	0.077742
0.163708	0.061507
0.170353	-0.034537
0.087026	-0.092569
0.047841	-0.019321
0.206425	0.215347
0.239058	0.130601
0.361917	0.194957
0.138017	0.522855
0.256384	0.322025
0.309405	0.218609
-0.014313	0.021701
-0.065595	0.100140
-0.153165	0.199474
0.109823	-0.097152
0.097122	0.154399
0.312737	-0.129105
0.147035	-0.025333
0.187389	0.287023
0.206394	0.310941
0.132511	0.506814
0.158520	0.247247
0.112569	0.789538
-0.198922	0.834419
-0.058968	0.827450
-0.167669	0.810194
0.061645	0.592410
-0.059596	0.885339
0.121417	0.918027
-0.301354	0.943574
-0.332536	0.856873
-0.339615	1.350698
-0.283867	0.916472
-0.301909	0.801035
-0.124817	0.863914
0.019848	0.787210
-0.010804	0.848382
0.152538	0.475974
-0.109844	0.883744
0.161872	0.662560
-0.382566	0.994709
0.055102	0.732750
0.038420	1.039804
0.040019	0.700765
-0.080533	0.795619
-0.267315	0.987890
-0.366519	0.855224
-0.419602	0.902316
-0.417533	0.491247
-0.406526	0.381269
-0.339899	0.636836
-0.366093	0.284126
-0.412947	0.660036
-0.526672	0.411671
-0.461638	0.296971
-0.493834	0.434149
-0.342573	0.623297
-0.312728	0.582734
0.339299	0.100931
0.106406	0.429754
0.229434	0.310059
0.033463	0.607078
0.144236	0.657034
0.095473	0.691409
0.239389	0.586495
0.033692	0.580629
0.173606	0.514305
0.191098	0.695444
-0.233762	0.932678
-0.164862	0.953274
-0.445874	0.476236
-0.437821	0.467567
-0.372178	0.403691
-0.396305	0.700629
-0.359951	0.396589
-0.514226	0.550466
-0.432426	0.465163
-0.485631	0.370891
-0.497670	0.316173
-0.299212	0.444349
-0.484032	0.544768
-0.335580	0.385960
-0.366924	0.420724
-0.418664	0.438776
-0.497234	0.445244
-0.422806	0.494459
-0.565975	0.447300
-0.531231	0.668458
-0.380897	0.471235
-0.457297	0.347197
-0.304864	0.490448
-0.335622	0.558813
-0.508509	0.555455
-0.298558	0.328708
-0.456725	0.566005
-0.417881	0.527620
-0.395368	0.343603
-0.440036	0.385697
-0.256134	0.619684
-0.403019	0.925391
-0.256783	0.843867
-0.261274	0.761965
-0.331511	0.599657
-0.425897	0.927255
-0.482371	0.989036
-0.324190	1.074673
-0.250895	1.053587
-0.476559	0.769652
-0.290524	0.715150
-0.371479	0.980379
-0.321636	0.854618
-0.469426	1.013619
-0.271458	0.970731
-0.451405	0.863779
-0.510584	0.891293
-0.371874	1.159178
-0.437013	0.866514
-0.532064	0.939821
-0.336768	0.896729
-0.500190	0.830265
-0.235918	0.764826
-0.287239	0.632460
0.031315	0.800047
0.114731	0.323287
0.297556	0.093141
0.188991	0.209152
0.152093	-0.084160
0.371097	0.128779
0.224894	0.106872
0.382077	0.214613
0.145351	0.216800
0.060331	-0.087237
0.254567	-0.061181
0.116525	0.155593
-0.197969	0.275402
-0.161075	-0.013385
-0.060685	0.079318
-0.094778	0.107699
0.101905	-0.067106
0.000051	-0.190958
-0.144761	-0.020253
-0.204184	0.117841
-0.154886	-0.007665
-0.170252	0.159376
-0.273678	0.488498
-0.475569	0.429862
-0.473934	0.313831
-0.398616	0.265121
-0.464647	0.522799
-0.491881	0.507022
-0.502220	0.249029
-0.442598	0.318957
-0.413624	0.426415
-0.498471	0.448407
-0.107689	0.181113
-0.062155	0.075862
-0.220859	-0.011926
-0.452524	0.423050
-0.436362	0.548555
-0.354403	0.538818
-0.475463	0.652552
-0.492509	0.510191
-0.447392	0.466855
-0.369017	0.356363
-0.116227	0.161303
-0.212167	0.051913
-0.191555	-0.016612
-0.072098	0.189567
-0.126254	0.018272
-0.349418	0.133591
-0.083198	0.215957
-0.117623	0.084980
-0.062502	0.115220
-0.339770	0.483413
0.153992	0.055704
0.233815	0.057046
0.128809	-0.015146
0.133664	-0.111874
0.141902	-0.033191
0.282373	0.001918
0.310243	-0.063835
0.204830	0.235108
0.299019	0.127529
0.142878	0.142314
0.084376	0.177055
0.269433	0.184682
0.013868	-0.049606
-0.022592	-0.141101
0.159141	-0.215237
0.096531	-0.028180
0.118042	-0.198707
-0.153692	0.102704
-0.252088	-0.095675
-0.056807	0.116914
-0.122236	0.170756
-0.013945	-0.181973
0.009666	-0.125891
0.111952	-0.005803
0.222364	-0.005395
0.017699	-0.232762
0.048930	-0.030051
0.236229	0.310089
0.352111	0.356677
0.184914	-0.037905
0.194463	0.163691
0.313788	0.028121
0.252631	0.211459
0.096508	-0.120436
0.174681	-0.085872
0.089583	0.106132
0.045071	-0.036804
0.069235	-0.238756
0.044152	-0.196662
0.095840	-0.048693
0.074173	0.098772
0.053219	0.031016
0.007508	0.192756
-0.305063	0.710373
-0.243786	0.375453
-0.384004	0.345875
-0.511921	0.426407
-0.327855	0.532121
-0.555449	0.643693
-0.247294	0.715320
-0.292901	0.888263
-0.468989	0.602411
-0.402496	0.830269
-0.470516	0.845609
-0.527353	0.876407
-0.483652	1.165248
-0.268547	0.864601
-0.308799	0.754099
-0.411276	0.516172
-0.407688	0.453850
-0.400508	0.413577
-0.423188	0.641634
-0.480269	0.646458
-0.442687	0.870970
-0.487936	0.698407
-0.562479	0.319032
-0.024251	-0.105252
0.268953	0.057540
0.072552	0.386020
0.153952	0.251621
0.240142	0.204434
0.277527	0.579245
0.132495	0.182137
0.278020	-0.008145
0.060854	-0.057821
-0.135731	-0.047895
-0.304525	0.040364
-0.219065	-0.026962
-0.141841	0.019247
-0.093700	0.019272
-0.208729	-0.077093
-0.122885	-0.107395
-0.288009	0.155556
-0.173404	0.065680
-0.563190	0.568675
-0.441633	0.598735
-0.305858	0.976028
-0.443214	0.660951
-0.401759	0.629413
-0.412074	0.358782
-0.520229	0.581041
-0.365257	0.570220
-0.415250	0.409398
-0.297626	0.728089
-0.244657	0.667997
-0.379752	0.202579
-0.297657	0.129352
-0.051705	-0.095864
0.061176	-0.189490
0.204657	-0.144683
0.049901	0.116141
0.216948	-0.199381
0.072574	-0.055163
0.153947	0.047970
0.067070	0.020474
0.176479	-0.067398
0.287927	-0.169541
0.200439	-0.067490
0.061647	-0.062038
0.154837	0.107247
0.124191	0.107818
-0.129959	0.012739
-0.166044	0.175866
-0.164073	0.093408
-0.090752	0.015678
-0.001319	0.212485
-0.075145	0.001515
0.155340	0.069105
-0.003370	-0.124107
0.123726	-0.049019
0.028983	-0.091094
0.267323	-0.004204
0.041516	-0.144594
0.267074	0.039314
0.130992	-0.218245
0.034940	-0.165040
0.290987	0.102603
0.133631	0.026286
0.098840	0.373132
0.272713	0.207459
0.158811	0.353850
0.340128	0.115862
0.288033	0.442619
0.054238	0.280452
0.122793	0.118621
0.116310	0.057482
0.372242	0.031360
0.008034	0.511921
0.406677	0.101685
0.376316	0.264520
0.225943	0.083168
0.179924	0.071691
0.173262	0.258092
0.161033	0.427588
-0.063293	0.617623
-0.243547	0.905644
-0.098618	0.734735
-0.180121	0.932805
0.175631	0.363859
-0.083090	0.838620
0.141187	0.836187
-0.250669	0.674359
0.041057	0.840708
0.017802	0.206228
0.132886	0.052739
0.157444	0.536678
0.380916	0.223301
0.113302	0.017893
0.179776	-0.037111
0.122800	0.038750
-0.039799	0.045375
0.058650	-0.155196
0.119342	-0.052531
0.116911	0.057812
0.101660	-0.195411
-0.020272	-0.120614
0.149741	0.012072
0.114216	-0.185488
0.032198	-0.118351
-0.358653	0.287923
0.047716	-0.188028
0.068129	-0.073079
0.007074	-0.129657
0.098358	-0.070077
-0.220093	0.735136
-0.046038	0.578800
0.291103	0.288939
-0.126706	0.662827
0.049471	0.717795
-0.104008	0.571021
-0.043764	0.753029
0.171175	0.144784
0.133863	0.379637
-0.024393	0.386634
0.028681	0.633493
-0.236979	0.880585
0.042530	0.954796
0.053648	0.801659
-0.006498	0.831019
0.054421	0.690478
0.034186	-0.120559
0.044844	-0.261154
0.109855	-0.071707
0.133912	-0.007425
0.039259	-0.074267
0.277675	0.011292
0.079355	0.006615
0.227287	-0.102337
0.226532	-0.005885
0.159055	-0.086167
0.126582	-0.085868
0.139061	0.011409
0.141441	0.300326
0.132189	0.500932
0.012034	-0.060212
0.041204	-0.075192
0.297257	0.407342
0.097663	0.496260
0.379642	0.062109
0.244583	0.422111
0.041106	0.804949
-0.259658	0.984472
-0.094195	0.928753
-0.262056	0.885252
0.037362	0.536766
-0.198580	1.074344
-0.045820	0.891828
-0.241882	0.895844
0.320943	0.252024
0.223900	0.342149
-0.010287	0.947827
-0.131132	0.743018
-0.093216	0.746675
0.309229	0.078768
0.105568	-0.064729
0.179001	0.034594
0.077360	-0.231579
0.229139	0.615260
0.192466	0.262820
0.143710	0.253753
0.220985	0.097807
0.007226	0.002438
-0.320645	0.529395
-0.359384	0.371493
-0.060748	0.253436
-0.218866	0.086151
-0.107235	0.082023
-0.186867	0.179373
0.011840	-0.158198
-0.306799	0.494841
-0.389453	0.479514
-0.590883	0.544586
-0.562275	0.339343
-0.295996	0.510052
-0.424605	0.394319
-0.392748	0.292484
-0.385538	0.382847
-0.396548	0.570852
-0.577608	0.406217
-0.145133	0.071560
-0.096374	0.066553
-0.193239	0.133034
-0.123672	0.029074
-0.208722	1.019586
-0.227879	0.821877
-0.002025	0.871054
-0.377462	0.837432
-0.332483	0.863709
0.058750	0.845123
-0.360873	0.934318
-0.264789	0.270358
-0.360421	0.383527
-0.172227	0.677923
-0.356798	0.527774
-0.280099	0.698683
-0.459652	0.414627
-0.370329	0.644536
-0.482837	0.884727
-0.466202	0.467870
-0.408034	0.834807
0.082160	0.655617
-0.127074	0.773176
0.179134	0.316711
0.068281	0.386032
-0.197631	0.842540
0.071981	0.848014
0.255424	0.528695
-0.125062	0.887819
0.023714	0.947558
0.084996	0.624276
0.194325	0.335375
0.127716	0.449047
0.144117	0.416828
0.304193	0.124161
0.243037	0.418286
0.139384	0.032570
0.172720	0.020645
0.153561	0.667293
0.239023	0.493581
0.421282	0.586493
0.315531	0.262491
0.298518	0.290889
0.446577	0.183146
0.370643	0.379773
0.347750	0.349436
0.255740	0.179107
0.201987	0.699216
-0.003157	1.080596
0.121381	0.989675
0.247584	0.627086
0.234372	0.567688
0.266980	0.370204
0.291486	0.582087
0.173484	0.624730
0.201983	0.570152
0.144450	0.708274
0.149754	0.786390
0.382670	0.632326
0.312391	0.207788
0.222945	0.216325
0.451916	0.272798
0.355262	0.260860
0.549468	-0.131244
0.385437	0.346139
0.394416	0.310321
0.415264	0.280961
0.284192	0.560396
0.353904	0.414462
0.316299	0.317114
0.376178	0.223627
0.493035	0.714334
0.019120	0.863399
0.210518	0.924897
0.227561	0.619185
0.200310	0.529032
0.133779	0.647453
-0.041778	0.819048
0.146262	0.853431
0.341959	0.630856
0.074826	0.831796
0.182924	0.673454
0.262424	0.769512
0.159937	0.738325
0.143002	0.747425
0.193356	0.616618
0.190653	0.714505
0.153545	0.658019
0.190894	0.465401
0.299387	0.370486
0.429585	0.027838
0.408140	0.560741
0.540467	0.498546
0.429772	0.443556
0.391816	0.462434
0.294842	0.319716
0.376337	0.740048
0.447502	0.535247
0.350185	0.345217
0.400281	0.413783
0.326766	0.424640
0.429550	0.523836
0.327321	0.375722
0.315287	0.291772
0.407773	0.349041
0.321285	0.436041
0.428201	0.359494
0.341428	0.562937
0.405571	0.140342
0.236344	-0.049290
0.249811	-0.055112
0.262552	0.030877
0.544620	0.235516
0.141379	0.068876
0.315833	0.165703
0.354654	0.150479
0.250324	0.134909
0.307543	-0.033228
0.267145	0.107977
0.315552	0.635443
0.403798	0.467457
0.328150	0.108837
0.420935	0.325588
0.367205	0.280082
0.373399	0.296149
0.280928	0.074658
0.169821	-0.161024
0.334412	0.187555
0.470399	0.116003
0.178940	-0.074986
0.125805	-0.114823
0.548878	0.578990
0.234796	-0.258934
0.185843	0.034873
-0.063916	0.077646
0.165051	-0.211340
0.201327	0.000120
0.243346	0.018031
0.288773	0.034500
0.380862	0.233539
0.324141	-0.013879
0.327649	-0.064853
0.310094	-0.044199
0.335660	0.302422
0.155943	-0.246824
0.398408	0.304705
0.391627	0.450705
0.537265	0.162860
0.329626	0.366624
0.309642	0.342683
0.340250	0.326460
0.449211	0.256700
0.488134	0.405937
0.328520	0.316563
0.292430	0.453393
0.440479	0.353400
0.400895	0.415280
0.154423	0.809398
0.362042	0.169452
0.299947	0.094969
0.186591	-0.099236
0.195531	-0.138157
0.308787	0.257298
0.118106	0.057048
0.145808	-0.032201
0.276205	-0.056222
0.077789	-0.201015
0.264698	-0.090553
0.173283	0.014500
0.124533	-0.038598
0.200266	-0.043145
0.339816	0.034849
0.220208	0.069359
0.273467	-0.044178
0.124114	-0.035736
0.213415	0.070504
0.215363	0.185452
0.170175	0.031487
0.108362	-0.028374
0.021708	-0.061046
0.096311	-0.181574
0.196747	0.280504
0.324881	0.135610
0.210286	0.495502
0.088705	0.641403
0.330351	0.284810
0.233677	0.274205
0.084186	0.369388
0.275022	0.447120
0.075803	0.316959
0.255804	0.664361
0.157085	0.459831
-0.102863	0.828565
-0.053658	0.858789
-0.070014	0.887845
-0.143422	0.761292
-0.079556	0.885713
0.054847	0.757597
-0.026698	0.806335
-0.146951	0.824443
0.113052	0.816170
0.133588	0.315123
0.122765	0.272867
0.199109	0.179926
0.055685	-0.034615
0.098604	-0.091495
0.157409	-0.052290
0.153085	0.003014
0.274434	-0.050194
0.276350	0.178676
0.160343	-0.030777
0.202437	0.287272
0.294264	0.018424
0.170847	-0.071951
0.071791	0.023873
0.179881	-0.015345
0.193684	-0.092820
0.243240	-0.002902
0.218700	-0.008290
0.228856	-0.075302
0.086375	-0.159397
-0.150943	-0.162701
0.197866	-0.031971
0.054868	0.126278
0.008421	-0.196315
0.131086	-0.072970
0.074876	0.028088
0.194510	-0.129690
0.144819	-0.028681
0.137878	-0.022476
0.193538	-0.090780
0.102487	0.033934
0.123180	0.012435
0.125407	0.767341
-0.167557	0.822055
-0.087821	0.792130
0.038821	0.883657
-0.029048	0.716906
-0.088411	0.997602
0.011371	0.929407
0.007346	1.012584
-0.095913	0.975583
-0.114361	0.942008
0.015125	0.943396
-0.038043	0.626510
0.194051	0.481138
-0.069743	0.937256
0.038345	0.615834
-0.085312	0.822916
0.307637	-0.006109
0.139145	0.355035
0.242280	-0.149070
0.049506	-0.053566
0.199435	0.091378
0.339770	0.203622
0.094864	0.214625
0.092269	0.312204
0.097019	0.236448
0.129563	0.387896
0.251572	0.122402
0.213625	0.251650
0.206369	-0.007381
0.198741	0.253322
0.217763	0.440504
0.096813	0.486502
0.235907	0.006775
0.128495	0.302914
0.106891	0.702519
0.376438	0.271142
0.231338	-0.002279
0.212803	0.169752
0.274287	0.177469
-0.442305	0.586340
-0.448790	0.355503
-0.372178	0.432487
-0.539408	0.440303
-0.500897	0.465462
-0.368905	0.345423
-0.459351	0.966005
-0.489657	0.414188
-0.343709	0.323289
-0.271205	0.053709
-0.195393	0.139867
-0.392338	0.514062
-0.418547	0.758124
-0.356318	0.488706
-0.343362	0.488875
-0.449089	0.521239
-0.351689	0.493267
-0.352694	0.598843
-0.480758	0.498339
-0.463765	0.750717
-0.092431	0.309379
-0.146554	0.028379
-0.580868	0.468708
-0.384168	0.469000
-0.442465	0.053376
-0.327412	0.397535
-0.591140	0.538511
-0.373675	0.376562
-0.377173	0.386821
-0.470764	0.378312
-0.360243	0.554343
-0.395343	0.588366
-0.348066	0.345984
-0.365776	0.495323
-0.356970	0.662443
-0.339282	0.328804
-0.474445	0.447471
-0.429660	0.360131
-0.550510	0.844472
-0.334274	0.731726
-0.629523	0.918204
-0.596733	0.538417
-0.342324	0.728932
-0.585041	0.631642
-0.434393	0.678752
-0.482350	0.330298
-0.398172	0.380552
-0.404183	0.499642
-0.405262	0.246875
-0.388627	0.541275
-0.347574	0.490881
-0.409903	0.460945
-0.378607	0.568370
-0.362337	0.786257
-0.216276	0.820071
-0.088424	0.774256
-0.027812	0.774687
0.011425	0.806040
0.065031	0.694861
-0.066521	0.657586
0.150337	0.708232
-0.047709	0.785004
-0.135504	0.894034
-0.189330	0.956241
-0.124536	0.874937
-0.204073	0.861198
-0.049372	0.911144
0.065902	0.602851
-0.457447	0.767685
-0.653594	0.732733
-0.246156	0.872167
-0.302778	0.742679
-0.404695	0.669353
-0.507378	0.962505
-0.408260	0.849036
-0.496140	0.637586
-0.465511	0.829070
-0.547330	0.530137
-0.366013	0.844816
-0.291456	0.684768
-0.325036	0.952538
-0.271200	0.762088
-0.135218	1.102346
-0.353502	0.489031
-0.493567	0.773697
-0.389041	0.577858
-0.479424	0.766732
-0.272125	0.765653
-0.390072	0.732354
-0.431405	0.884695
-0.451934	0.762911
-0.202085	0.644081
-0.519050	0.833739
-0.318725	0.595341
-0.310306	0.861306
-0.259075	0.939910
-0.109580	0.838123
0.046475	0.827000
-0.042872	0.938745
-0.082160	0.790498
0.007250	0.826893
-0.437133	0.842135
-0.341660	0.970147
-0.516214	0.401993
-0.419223	0.418205
-0.490436	0.239431
-0.251476	0.282251
-0.369277	0.322748
-0.311840	0.248503
-0.302973	0.471368
-0.481126	0.317194
-0.449361	0.508727
-0.156895	-0.087144
-0.278453	0.181884
-0.211246	0.034404
-0.187405	0.097175
-0.180912	0.219119
-0.301745	0.155884
-0.141087	0.127406
-0.079847	0.248835
-0.141588	0.086170
-0.349263	0.037481
-0.143326	0.031212
-0.228427	0.098737
-0.076520	0.137490
-0.161438	0.017766
-0.175006	0.105428
-0.142431	-0.124102
-0.015258	0.249765
-0.040308	-0.025035
-0.139635	0.087294
-0.223182	-0.092970
-0.099588	0.173554
-0.138021	0.152310
-0.105442	0.106348
-0.112085	0.102318
-0.180128	-0.035675
-0.086170	0.178690
-0.088867	0.028718
-0.025114	0.213834
-0.260265	-0.083936
-0.344940	0.719538
-0.107697	0.195377
-0.158342	0.029233
-0.208150	0.019143
-0.213962	-0.012425
0.051510	-0.118682
-0.103777	0.090679
0.030187	0.012446
-0.092455	0.156172
-0.119408	0.028651
-0.139082	0.203875
-0.093839	0.203596
-0.138708	-0.041038
-0.135520	-0.065647
-0.110614	0.096669
-0.172812	-0.030325
-0.196732	-0.106322
0.107530	0.138263
0.252348	0.089331
0.033795	-0.128348
0.116796	-0.186953
0.312597	0.014254
0.179048	0.061813
0.028761	0.055648
-0.041336	-0.213628
-0.022251	-0.053644
0.271941	-0.015771
0.029939	-0.081980
0.060888	-0.141105
0.277752	-0.143035
0.032721	-0.153647
0.092571	0.077161
0.274069	0.178727
0.010475	0.692417
-0.038802	0.882554
-0.107652	0.993625
-0.129345	0.866657
-0.051478	0.893095
-0.030109	0.659635
0.148414	0.618391
0.029220	0.668449
-0.035919	0.743517
-0.174456	0.743714
0.074951	0.575182
0.093998	0.484849
0.244496	0.176313
0.258098	-0.003649
0.266159	0.351438
0.331098	0.232352
0.143328	0.347579
0.169976	0.355014
0.286457	0.438943
0.104371	0.449550
0.138153	0.500583
0.268196	0.130324
0.204893	0.397293
0.202280	0.508947
0.145637	0.535420
0.168742	0.378782
0.268039	0.355777
0.177636	0.331283
0.191969	0.343268
0.413381	0.428883
0.188211	0.674018
-0.009503	0.076915
0.242590	0.140420
0.115371	0.107018
0.221365	0.093817
-0.029369	0.173269
-0.039600	0.206984
0.039136	0.113825
0.035603	-0.055631
0.169011	0.193875
0.104346	0.085228
0.290842	0.037053
0.187567	0.337817
0.154580	0.066309
0.193016	0.048527
0.060750	0.226031
0.171856	0.071616
0.131512	0.094363
0.135439	0.165307
0.074253	0.107224
0.008179	0.044700
0.303385	0.096770
0.220402	0.336554
0.011449	0.458517
0.193814	0.313747
0.268222	0.211904
0.153908	0.339819
0.251416	0.330696
0.290887	0.224887
-0.082640	0.026979
0.195280	0.286279
0.299622	0.205554
0.093480	0.087170
-0.310389	0.156664
-0.467472	0.732975
-0.197601	0.844390
-0.191187	0.681460
-0.098407	0.881461
-0.290864	0.736272
-0.033472	0.830080
0.038954	0.796340
-0.158567	0.843298
-0.104203	0.793470
0.064830	0.811735
-0.265863	0.840057
0.175184	0.387372
0.217152	0.364645
0.279532	0.212738
-0.078418	-0.129301
0.039148	0.020033
0.101597	0.009573
0.188759	0.084605
0.119874	0.142157
0.293994	0.169939
0.195037	0.298404
0.256684	0.400185
0.101234	0.549965
0.121105	0.695285
0.275036	0.395516
0.272976	0.204258
0.152976	0.268461
0.096176	-0.276149
-0.015532	0.081655
0.154840	0.002646
0.152863	0.046497
0.149194	-0.040685
0.066316	0.042017
0.109739	-0.094075
0.338126	0.508695
0.305068	0.343987
0.055322	0.146597
0.181834	0.150767
0.252165	0.503529
0.149224	0.259208
0.202071	0.282478
0.132214	0.166475
0.311587	0.365985
0.254610	0.185293
0.349270	0.271685
0.262855	0.312943
0.135687	0.401679
0.124650	0.272748
0.109450	-0.040177
0.031720	-0.008306
-0.014118	-0.249289
0.235703	0.195028
0.077468	0.074723
0.156921	0.159191
0.027278	0.314348
-0.041445	0.022752
-0.094167	-0.039001
-0.210029	0.068890
-0.243798	0.069042
-0.259000	0.133928
-0.261143	-0.006906
-0.225643	0.149119
-0.023281	0.160654
0.110020	0.321196
0.080301	0.471778
0.237122	0.552974
0.145526	0.513722
0.249092	0.287688
0.251799	0.350555
0.141813	0.029547
0.019827	-0.046928
0.124276	0.005161
0.171732	0.101569
0.378698	0.231916
0.107121	0.266578
0.053271	0.386973
