Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.515185	2.727021	0.302928
0.486250	2.885961	0.300315
0.475286	2.773133	-0.039005
0.457533	2.687060	0.246800
0.729844	-3.086262	0.102055
0.405196	2.773442	0.139567
0.487060	2.649249	0.407396
0.671762	2.949662	0.212249
0.422937	2.622472	0.284546
0.020642	1.585469	0.567457
0.175475	1.640880	0.579474
0.228849	1.748846	0.608720
-0.022431	1.584981	0.521649
0.201223	1.246109	0.378597
0.100323	1.197640	0.538054
-0.162363	0.477580	0.225779
-0.095778	0.023250	0.007395
0.068661	-0.357552	0.114574
-0.044844	-0.208387	0.055994
0.050063	-0.521052	-0.021960
0.325076	-0.614127	-0.246088
0.251055	-1.308000	-0.504611
0.374893	-1.607270	-0.220391
0.465867	-1.460827	-0.249458
0.375354	-1.711173	-0.659087
0.377749	-1.559324	-0.567302
0.097077	-1.473533	-0.382381
0.227448	-1.223867	-0.586218
0.286304	-1.464710	-0.536502
0.246985	-1.569140	-0.440760
0.417708	-1.586962	-0.270294
0.085807	-0.487233	-0.137998
-0.036781	-0.486378	-0.266285
-0.090254	-0.438793	-0.267109
-0.098030	-0.381960	-0.113420
0.288033	-1.076751	-0.573447
0.340343	-1.557293	-0.343446
0.727884	-2.063873	-0.395675
0.253275	-1.215931	-0.634048
0.355433	-1.372817	-0.366343
0.323116	-1.510408	-0.416900
0.005582	-0.902480	-0.656354
0.173379	-0.349401	-0.153114
0.021689	-0.421954	-0.256281
0.154877	-0.275217	-0.174512
0.090666	-1.533315	-0.709873
0.122117	-1.496718	-0.729237
0.412582	-1.387116	-0.479870
0.153804	-0.466342	-0.039877
0.021398	-0.347785	-0.198451
0.346640	-1.360217	-0.494314
0.286428	-1.548500	-0.640499
0.550957	-1.390994	-0.539825
0.299308	-1.364034	-0.358042
0.521283	-1.515792	-0.619906
0.776743	-2.766534	-0.064267
0.571583	2.995636	0.095529
0.726160	2.773724	0.231858
0.635040	2.776152	0.245872
0.582355	3.039096	0.288185
0.511511	2.624656	0.382634
0.544094	3.016985	-0.018954
0.574529	-2.834354	0.201024
0.574056	-2.460190	-0.418369
0.537544	-2.282971	-0.497136
0.483156	-2.201576	-0.537390
0.703645	-2.225967	-0.409538
0.586830	-2.340129	-0.405855
0.670301	-2.334160	-0.135287
0.711012	-2.381624	-0.494879
0.569864	-2.309369	-0.195931
0.411461	-2.355543	-0.263580
0.455678	-2.063517	-0.523145
0.450510	-2.302688	-0.432620
0.824514	-2.313476	-0.262738
0.591555	2.685929	0.236965
0.447501	2.509960	0.352810
0.058320	1.988454	0.307012
0.099274	1.600741	0.348410
-0.052410	1.207829	0.444944
0.189850	1.509235	0.531498
0.096782	1.639742	0.343003
0.425656	2.598268	0.115270
0.518314	2.598654	0.295674
0.648702	2.531375	0.422052
0.396912	2.998617	0.421012
0.475309	2.598321	0.111507
0.495087	2.465658	0.487340
0.532636	2.774086	0.273090
0.635300	2.944472	0.049592
0.492315	2.435190	0.194681
0.588174	-2.279388	-0.142628
0.771453	-2.324580	-0.523761
0.587546	-2.333435	-0.309625
0.580250	-2.146867	-0.521197
0.542101	-2.445913	-0.153390
0.453679	-2.220708	-0.391558
0.546644	-2.491070	-0.164853
0.748607	-2.178173	-0.404909
0.740924	-2.473795	-0.267011
0.216903	-1.496873	-0.542054
0.397335	-1.377990	-0.348783
0.338796	-1.595095	-0.448098
0.375232	-1.346700	-0.263838
0.425269	-1.483052	-0.424822
0.263724	-1.616756	-0.436163
0.303851	-1.470703	-0.493815
0.262393	-1.500330	-0.498209
0.410896	-1.340111	-0.520991
0.526067	-1.268725	-0.212784
0.334937	-1.124622	-0.374235
0.360660	-1.461251	-0.396809
