Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.036839	-0.441884	-0.069126
0.146510	-0.286848	0.126128
0.015724	-0.863973	-0.289838
0.113331	-0.756642	-0.166803
0.210782	-0.665114	-0.240999
0.122463	-0.063034	0.339220
0.044509	-0.584745	-0.060251
0.027918	-0.575213	-0.130031
-0.034338	-0.267905	-0.040780
-0.140794	0.056158	0.083390
0.208350	1.841066	0.477131
-0.094113	1.006186	0.398551
-0.091565	1.135174	0.490448
0.017123	1.141992	0.441382
-0.141792	1.235711	0.318109
0.303087	2.310442	0.384910
0.783363	3.021058	0.153510
0.660324	2.735369	0.236454
0.348917	2.294953	0.439956
0.674908	2.998929	0.198481
0.842668	2.712338	0.138021
0.379695	2.299895	0.424799
0.575875	2.748178	0.035655
0.752890	3.097724	0.116537
0.721528	2.920676	0.212602
0.313355	1.994552	0.426513
0.159930	1.547955	0.484167
0.332562	1.975194	0.458207
0.523827	2.760387	0.264817
0.729720	2.786795	0.305194
0.547121	2.599558	0.257050
0.612736	2.397358	0.590797
0.219445	1.270474	0.397223
0.021143	0.068153	0.235391
0.326293	-1.024582	-0.142051
0.521241	-1.467886	-0.511715
0.674428	-1.751895	-0.644561
0.205849	-1.306564	-0.585125
0.285696	-1.376932	-0.376761
0.376544	-0.741255	-0.216702
0.398979	-0.512657	-0.077465
0.316166	-0.408219	-0.093700
0.031315	0.519745	0.467556
0.047918	0.501838	0.354417
-0.049658	0.335890	0.142229
-0.146492	0.369790	0.173378
-0.009528	0.155177	0.010599
0.175397	0.965474	0.458892
0.030187	0.377036	0.120827
0.115977	0.384531	0.266781
-0.011844	0.686904	0.117742
0.081575	1.108514	0.604071
0.683380	2.321157	0.441748
0.649460	3.087540	0.091193
0.302851	2.150671	0.423077
0.228413	1.479744	0.708323
0.197299	1.172495	0.558488
0.190244	1.407275	0.578043
0.292203	1.575310	0.461439
0.291880	1.338524	0.426742
0.277092	1.658077	0.510038
0.302851	1.838926	0.310011
-0.064275	1.077428	0.373731
-0.006248	0.509631	0.657296
0.157542	0.150706	0.314491
0.054770	-0.393163	-0.187640
0.042675	-0.473429	-0.346753
0.060242	-0.705319	-0.469617
0.131929	-0.287150	0.134366
0.034664	-0.630315	-0.165850
0.162743	-1.108389	-0.624378
0.025845	-0.549812	-0.253652
0.042631	-0.372340	-0.011496
-0.075808	-0.317742	0.104786
0.077075	-0.749984	-0.299233
0.228312	-0.378457	-0.000147
0.024691	-0.507238	-0.085917
0.066188	-0.426661	-0.256611
-0.037020	0.739967	0.293819
0.027597	0.705710	0.479887
-0.056571	0.838264	0.198358
0.018785	0.485947	0.030608
-0.108361	0.327406	0.276968
-0.166944	0.175868	0.098082
-0.016434	-0.603345	0.016616
0.137356	-0.468558	-0.151721
0.105144	-0.396214	-0.094199
0.316276	-0.692360	-0.215436
0.103421	-0.311154	0.043054
0.216259	-0.168890	0.235312
0.071230	-0.415449	-0.008282
-0.009741	-0.597437	-0.284782
0.061963	-0.168187	0.048829
0.153966	-0.516860	-0.237063
-0.022637	-0.644170	-0.459777
0.481097	-1.768940	-0.468778
0.465224	-1.496859	-0.485751
0.236319	-1.643826	-0.710194
0.309415	-1.511354	-0.673975
0.245659	-1.316392	-0.264079
0.471365	-1.505189	-0.696725
0.107545	-0.309772	0.089514
0.009844	-0.684440	-0.278033
0.372389	-1.458591	-0.567813
0.422574	-1.585682	-0.773715
0.384482	-1.436642	-0.539577
0.404426	-1.522056	-0.564349
0.413739	-1.348064	-0.471509
0.339526	-1.373255	-0.452723
0.325296	-1.541143	-0.676821
0.470268	-1.895209	-0.273111
0.454470	-2.368728	-0.499407
0.616356	-2.956291	0.212536
0.885749	-2.488648	-0.277122
0.829552	-2.386240	-0.102898
0.334590	-1.560394	-0.455962
0.699334	-2.417201	-0.197432
0.629914	-2.109339	-0.433582
0.828707	-2.538819	-0.306536
0.495649	-1.967618	-0.489848
0.437945	-1.558684	-0.562527
0.446782	-1.561307	-0.670566
0.484973	-1.574242	-0.385770
0.322217	-1.367413	-0.347706
0.284063	-0.669007	-0.259656
0.213113	-0.585792	-0.109884
0.120224	-0.898035	-0.438175
0.266166	-0.667917	-0.229015
0.091152	-0.333356	-0.095768
-0.072653	-0.652387	0.094243
0.226891	-0.562855	-0.150205
-0.164136	-0.069682	0.045623
-0.010437	-0.373418	0.210532
0.061329	-0.584411	-0.147512
0.160663	-0.399361	-0.041300
0.138033	-0.282756	0.063801
0.221177	1.230426	0.705242
0.267158	-0.030416	0.327745
0.167838	-0.391048	-0.016682
0.053472	-0.524983	0.012669
-0.094049	-0.443623	-0.201704
1.020539	-2.549474	-0.282063
0.728720	-2.314874	-0.555343
0.551583	-1.413076	-0.486524
0.866573	-2.429914	-0.268013
0.569614	-2.358341	-0.247863
0.741569	-2.199626	-0.293976
0.575473	-2.553174	-0.184614
0.484879	-1.449381	-0.393355
0.406861	-1.499484	-0.283202
0.442331	-1.615161	-0.492911
0.526672	-2.011996	-0.243130
0.627093	-2.841445	-0.058065
0.827450	-2.485283	0.062544
0.744976	-2.293855	-0.276732
0.681293	-2.371178	-0.414629
0.814632	-2.360008	-0.042307
-0.078531	-0.108031	-0.127240
0.253184	-0.870466	-0.454358
0.289896	-0.291086	-0.061427
0.147571	-0.768844	-0.336128
0.112790	-0.554327	-0.153558
0.163618	-0.258297	-0.035216
0.258249	-0.933774	-0.563036
0.041460	-0.553285	-0.178223
0.095621	-0.598997	-0.104933
0.315882	0.105882	0.271032
0.160404	-0.654521	-0.187550
0.071534	-0.583256	-0.171578
0.505311	-1.676377	-0.510144
0.365554	-1.503645	-0.458142
0.247439	-0.525957	-0.123527
0.318795	-0.859779	-0.266147
0.497319	-1.651890	-0.477386
0.503726	-1.993391	-0.356396
0.366929	-1.341106	-0.155182
0.675929	-1.727995	-0.158694
0.632635	-2.340802	-0.552791
0.742076	-2.577850	-0.093216
0.649674	-2.325030	-0.437763
0.686670	-2.733406	0.197217
0.665058	-2.430127	-0.533027
0.635581	-2.598699	-0.199044
0.571634	-2.320359	-0.630313
0.722760	-2.633562	-0.030863
0.273799	-1.371342	-0.783712
0.520248	-1.422538	-0.565543
0.580327	-2.336804	-0.388060
0.800015	-2.448041	-0.226816
0.647964	-2.537445	-0.150613
0.292898	-1.459275	-0.506571
0.254246	-0.624095	-0.247109
0.088129	-0.273699	-0.130477
0.092553	-0.248236	0.178620
0.442514	-1.646549	-0.423714
0.498660	-1.537904	-0.338821
0.427264	-1.605200	-0.433231
0.390638	-1.405981	-0.312440
-0.086516	0.137584	0.087787
0.213393	1.655228	0.556210
0.103517	1.464303	0.509924
-0.069836	0.358663	0.276902
0.156615	0.516600	0.224741
0.085971	0.330024	0.409355
-0.004885	0.573582	0.500901
0.079997	0.154268	0.117792
0.361678	1.732082	0.460580
0.358538	1.567547	0.634705
0.041034	1.303883	0.589136
0.041617	1.279953	0.576320
0.573410	2.121256	0.546086
0.219686	1.665336	0.614862
0.105786	1.530692	0.482861
-0.092520	1.477517	0.321973
0.226214	1.756482	0.507358
0.083435	1.310456	0.645630
0.063816	0.264817	0.378743
0.192983	0.384239	0.221901
0.020181	0.426398	0.418804
0.053283	0.088493	0.148063
0.898789	-2.975594	0.095635
0.753787	-2.722665	-0.228769
0.756839	-2.633178	-0.002197
0.615030	2.713435	0.173746
0.735838	3.034105	0.227786
0.629851	-2.242800	-0.338269
0.850935	2.826009	0.281000
0.218526	1.776693	0.655574
0.261330	1.504917	0.504925
0.381344	1.737856	0.251413
0.219234	1.582371	0.534355
0.410350	1.687477	0.676963
0.182347	1.421407	0.522504
0.272210	1.609354	0.622702
0.400694	2.036403	0.558877
0.446593	2.414907	0.479697
0.623737	2.668305	0.231137
0.674371	-2.439059	-0.361667
0.806077	-2.817099	0.108179
0.414158	-1.492597	-0.436039
0.645796	-1.696205	-0.547244
0.653472	-2.463269	-0.297532
0.744791	-2.312924	-0.474606
0.803682	-2.259081	-0.214236
0.949169	-2.379538	-0.213482
0.667876	-2.228681	-0.288665
1.079891	-2.409265	-0.471583
0.464291	-1.438549	-0.454742
0.546164	-1.629206	-0.385644
0.520035	-1.610438	-0.632094
0.402904	-1.312318	-0.357342
0.582947	-1.681417	-0.562408
0.304508	-0.840177	-0.371378
0.104488	-0.838310	-0.314761
0.536558	-1.624479	-0.521366
0.376855	-1.422885	-0.429972
0.265573	-1.527236	-0.340063
0.550316	-1.516702	-0.463264
0.367593	-1.253783	-0.579791
0.474969	-1.368261	-0.361334
0.463165	-1.520965	-0.363381
0.576447	-1.557989	-0.394717
0.254476	-1.419815	-0.604931
0.554507	-1.659243	-0.526081
0.636897	-2.448683	-0.219995
0.653109	-2.157033	-0.655863
0.441952	-1.692566	-0.394382
0.414839	-1.329506	-0.321650
0.419979	-1.474032	-0.620674
0.404803	-1.549437	-0.441329
0.574144	-2.491407	-0.034455
0.456918	-2.438021	-0.213618
0.615883	-2.592821	-0.265957
0.492031	-2.441752	-0.192030
0.532020	-1.744504	-0.212375
0.230560	-0.933669	-0.578044
0.494371	-1.554380	-0.629106
0.450380	-1.439673	-0.430611
0.379094	-1.439460	-0.395450
0.397223	-1.509113	-0.563019
0.365283	-1.526037	-0.285709
0.522517	-1.433006	-0.558724
0.440163	-1.186367	-0.381705
0.542129	-1.586424	-0.105919
0.507739	-1.603122	-0.399223
0.524843	-1.392497	-0.444265
0.640396	-1.434430	-0.487549
0.510938	-1.662636	-0.499883
0.615628	-2.660217	-0.172953
0.643334	-2.461263	-0.197531
0.624515	-2.431153	-0.488865
0.884234	-2.462073	-0.460847
0.818558	-2.296921	-0.411824
0.667955	-2.538578	0.107135
0.582668	-2.102497	-0.385866
0.471113	-1.694259	-0.192067
0.849368	-2.435244	-0.235654
0.649086	-2.345127	-0.363409
0.463186	-2.374358	-0.248416
0.712604	-2.383094	-0.262326
0.604018	-2.614144	-0.170704
0.714478	-2.485731	-0.213717
0.731628	-2.401416	-0.071391
0.774310	-2.709297	0.216402
0.367442	-1.393277	-0.403990
0.224203	-1.600996	-0.264522
0.512102	-1.307479	-0.796732
0.514109	-1.594889	-0.184281
0.530575	-1.612201	-0.302788
0.461322	-1.208346	-0.423787
0.390926	-1.413745	-0.160980
0.444984	-1.637231	-0.207544
0.466273	-1.627425	-0.318362
0.566708	-1.542758	-0.399190
0.554528	-1.612215	-0.276650
0.446296	-1.480294	-0.235715
0.469672	-1.413841	-0.487029
0.311866	-1.549264	-0.378700
0.518490	-1.464888	-0.566188
0.481772	-1.082156	-0.425023
0.385124	-1.391225	-0.458849
0.490136	-1.506369	-0.402923
0.466104	-1.403248	-0.474220
0.462467	-1.550390	-0.427016
0.269128	-0.676579	-0.369696
0.054931	0.006426	-0.121810
0.235586	-0.427506	-0.298788
0.333011	-0.231282	-0.035097
0.262468	-0.580612	-0.231870
-0.055632	-0.364123	-0.152674
0.191506	-0.444652	-0.176959
0.216780	-0.589462	-0.404147
0.092284	-0.661119	-0.407224
0.204706	-0.327522	-0.088457
0.332414	-0.524396	-0.349609
0.581711	-1.624078	-0.043923
0.449007	-1.245095	-0.218662
0.479130	-1.069435	-0.403904
0.564525	-1.338011	-0.601130
0.543326	-1.733466	-0.437149
0.232527	-1.159900	-0.545099
0.491626	-1.036600	-0.488830
0.272325	-0.356272	-0.363847
0.244913	-0.447211	-0.154252
0.162989	-0.450339	0.105278
0.356150	-0.486568	-0.173837
0.200069	-0.605910	-0.213634
0.168702	-0.586644	-0.077847
0.520712	-0.103097	0.166302
0.272945	-0.458948	-0.005435
0.199201	0.712941	0.422869
0.327235	-0.318547	-0.144339
0.275198	-0.453491	-0.190492
0.318372	-0.308656	0.079744
0.018309	-0.270432	0.028843
-0.073168	-0.568675	-0.072501
0.223763	-0.701099	-0.467764
-0.098257	-0.650730	-0.318327
0.284283	-0.245716	0.000756
0.127987	-0.487111	-0.398727
0.234686	-0.124534	-0.226821
0.184586	-0.525348	-0.103343
0.520368	-1.474866	-0.409599
0.307695	-1.552957	-0.370734
0.335437	-1.451171	-0.256012
0.389249	-1.517393	-0.347123
0.505880	-1.467836	-0.309271
0.584628	-1.359200	-0.497483
0.179484	-1.711142	-0.220711
0.512348	-1.402332	-0.298713
0.535205	-1.101385	-0.419530
0.416450	-1.326576	-0.461381
0.281755	-1.501189	-0.423412
0.184158	-1.551729	-0.627270
0.060139	-0.537064	-0.321348
0.130093	-0.406864	-0.167299
0.259450	-0.039546	-0.296448
0.050658	-0.282715	-0.281316
-0.036394	-0.659975	-0.352607
-0.071347	-0.649952	-0.254499
-0.066036	-0.394256	0.108956
0.235415	-0.394512	-0.150034
0.228989	-0.177381	-0.049763
0.153795	-0.325399	-0.091799
-0.010660	-0.395841	-0.349722
0.123255	-0.515019	-0.166063
0.128730	-0.467394	-0.119974
0.086769	-0.171316	0.164181
0.226340	-0.347165	-0.031308
0.144524	-0.375883	-0.142904
0.161071	-0.570833	-0.115354
0.081825	-0.504454	-0.082606
-0.021838	-0.416813	-0.035531
0.087989	-0.465038	-0.154901
-0.042329	-0.371444	-0.048703
0.087137	-0.626756	-0.474180
0.079950	-0.635525	-0.276979
0.442322	-1.470822	-0.544901
0.281747	-1.289772	-0.328834
0.514689	-1.535256	-0.465322
0.364165	-1.650891	-0.421193
0.238499	-1.267990	-0.528833
0.369713	-1.300794	-0.513511
0.428079	-1.488904	-0.485308
0.443973	-1.380566	-0.225573
0.531107	-1.674031	-0.474490
0.341940	-1.606295	-0.242377
0.542778	-1.639342	-0.413880
0.749814	-2.518430	-0.389133
0.623955	-2.436722	0.077439
0.632987	-2.441220	-0.210625
0.722823	-2.444562	-0.249783
0.421665	-2.114241	-0.229441
0.816118	-2.396463	-0.253666
0.672618	-2.343398	-0.175985
0.577273	-2.488789	-0.029463
0.651760	-1.917497	-0.203397
0.269351	-1.414444	-0.544084
0.325240	-0.891144	-0.345989
0.061100	-0.527028	-0.096614
-0.017820	-0.503861	-0.259321
-0.005590	-0.132582	0.080692
0.129214	-0.346666	-0.035526
0.143859	-0.436453	-0.145864
0.045300	-0.743905	-0.308586
0.091621	-0.482807	-0.005615
0.127154	-0.379628	-0.135148
0.032748	-0.675537	-0.361241
0.237562	-0.284864	0.076559
0.156214	-0.377230	-0.121190
0.169070	-0.386278	-0.183230
0.091248	-0.459210	-0.225593
0.121848	-0.360135	-0.227306
0.196191	-0.498970	-0.082549
0.120902	-0.282298	0.140014
0.134038	-0.235989	0.021335
0.138366	-0.213379	0.108774
-0.035163	-0.727321	-0.304008
0.123295	-0.471564	-0.054222
0.281724	-0.968595	-0.421036
0.153284	-0.489514	-0.109446
0.073510	-0.314117	0.129643
0.006662	-0.504191	-0.391524
0.313475	-0.572683	-0.280911
0.055402	-0.356655	0.014556
0.009683	-0.461460	-0.181038
-0.009159	-0.715147	-0.275835
0.108434	-0.232890	-0.076105
0.134902	-0.739321	-0.374471
0.562804	-1.906723	-0.501440
0.613731	-2.399575	-0.173456
0.485723	-2.397604	-0.499264
0.488912	-2.148663	-0.467720
0.576835	-2.379119	-0.208389
0.606881	-2.395105	-0.278979
0.555889	-2.197247	-0.488137
0.434474	-2.430572	-0.189939
0.582968	-2.293000	-0.409196
0.675716	-2.417710	-0.224840
0.587891	-2.521802	-0.279424
0.694393	-2.376756	-0.252190
0.683818	-2.047139	-0.517811
0.650765	-2.429832	-0.224880
0.409215	-2.328533	-0.395961
0.650756	-2.522676	-0.224566
0.396198	-1.370469	-0.364388
0.524365	-1.568472	-0.493265
0.214674	-0.141553	0.096520
0.133429	-0.603715	-0.109167
0.335403	-1.035713	-0.353717
0.306153	-1.425868	-0.337131
0.436739	-1.133539	-0.232818
0.401972	-1.509352	-0.476854
0.271955	-1.617098	-0.586647
0.648945	-1.501823	-0.558565
0.329056	-1.196917	-0.273172
0.379333	-1.385072	-0.355084
0.179622	-1.387350	-0.670449
0.254005	-1.471047	-0.633603
0.353834	-1.440888	-0.506446
0.521384	-1.645352	-0.223322
0.413336	-1.448950	-0.603149
0.537883	-1.221922	-0.301064
0.480730	-1.651682	-0.400408
0.268632	-1.250104	-0.275387
0.454812	-1.437116	-0.517539
0.589092	-1.566318	-0.436660
0.255583	-1.448271	-0.854457
0.553327	2.379879	0.563078
0.181418	1.118276	0.525046
0.005819	1.652769	0.458521
0.107659	1.341792	0.654118
0.083966	1.431667	0.522126
0.087947	1.361498	0.605565
0.295572	1.834920	0.575159
0.142386	1.847084	0.658452
0.214763	1.680494	0.500424
0.154488	0.882573	0.730150
0.013938	0.934043	0.459318
-0.029306	1.219828	0.638906
0.211845	1.785917	0.476838
0.121697	1.440131	0.549089
0.012598	1.406280	0.548328
0.118314	1.526002	0.509497
0.006995	1.260742	0.408063
0.171547	1.590564	0.489706
0.460167	1.928365	0.584961
0.302226	1.632553	0.683609
0.175046	0.938758	0.461362
0.048852	0.346062	0.224947
0.202858	1.358620	0.413496
0.160754	1.447354	0.439739
0.059586	1.134899	0.317275
0.041036	1.497102	0.562047
0.051810	1.239442	0.506426
0.090038	1.498084	0.456847
0.232378	1.399539	0.473435
0.065022	1.431189	0.519614
-0.001321	1.635539	0.251952
0.033615	1.439504	0.287360
0.116485	1.626153	0.124009
-0.046459	1.206441	0.496857
-0.029833	1.596531	0.543106
0.370504	1.807768	0.419001
0.327776	1.606216	0.431868
0.478883	1.783447	0.437184
0.674819	2.694774	0.268741
0.533778	2.832223	0.351230
0.585240	2.354432	0.399083
0.412985	2.321866	0.433980
0.515841	2.525556	0.452115
0.557430	2.699185	0.472546
0.398054	2.695619	0.303895
0.406677	2.445025	0.320118
0.164150	1.575380	0.254905
0.018111	1.503149	0.613002
0.245280	2.059782	0.477368
0.260353	1.985713	0.573335
-0.062855	1.552408	0.466554
-0.007365	1.551280	0.560198
0.585809	2.994502	0.221365
0.582701	2.854421	0.240089
0.559080	-3.046195	0.183748
0.400920	-2.429816	-0.465195
0.569283	-2.458523	-0.103716
0.576933	-2.414593	-0.097875
0.579526	-2.216247	-0.205528
0.597358	-2.354776	-0.116171
0.566578	-2.230328	-0.456205
0.650245	-2.507841	-0.006866
0.464977	-2.508185	-0.175207
0.594037	-2.586075	0.017431
0.571445	-2.500057	0.007894
0.665377	-2.475800	-0.248922
0.730996	-2.624898	-0.115314
0.653280	-2.322590	-0.364484
0.372097	2.604270	0.373850
0.495234	2.494915	0.358334
0.497019	2.761324	0.360053
0.422984	2.705974	0.315170
0.328537	2.402990	0.403209
0.661790	2.475790	0.424511
0.673434	2.768445	0.423946
0.466525	2.430448	0.279919
0.655336	2.769705	-0.001663
0.663651	2.618144	0.497728
0.553519	2.623521	0.306201
0.601442	2.824072	0.328111
0.473283	2.863572	0.139433
0.571178	2.944962	0.124845
0.699699	-3.095554	0.135909
0.526201	2.898339	0.360259
0.480493	2.560571	0.325087
0.426965	2.752587	0.302073
0.646575	2.697844	0.444731
0.619398	-3.122788	0.128104
0.348933	2.632115	0.406871
0.719320	2.572252	0.339679
0.386355	2.587571	0.336740
0.470145	2.762045	0.159300
0.665644	2.754692	0.418369
0.677854	2.846250	0.440216
0.676701	-2.907232	0.335663
0.765306	-2.472374	-0.399412
0.492012	-2.355613	-0.248277
0.527407	-2.254541	-0.453281
0.629896	-2.351850	-0.076931
0.516230	-2.426657	-0.080203
0.494658	-2.618038	-0.155079
0.554081	2.750573	0.306998
0.551819	2.774398	0.418753
0.192955	1.841677	0.563507
0.024262	1.687904	0.434423
-0.115338	1.248626	0.515682
0.129395	1.633218	0.355126
0.288393	1.677727	0.276657
0.089619	1.564731	0.573496
0.163853	1.559069	0.248706
0.064914	1.273945	0.496105
0.353761	1.840677	0.439406
-0.155048	0.419802	0.262765
-0.037310	0.767638	0.408548
0.131416	0.695784	0.444684
-0.140396	0.484201	0.398202
-0.119529	0.619081	0.526625
-0.326757	0.845317	0.368872
-0.081069	0.632256	0.230479
-0.124500	0.536376	0.278527
-0.178643	0.650910	0.281328
-0.150205	0.508456	0.564111
-0.288559	0.390311	0.372809
0.017373	0.598299	0.326391
-0.137209	0.452382	0.285319
-0.043719	0.710894	0.355450
-0.162541	0.528479	0.401295
-0.187728	0.176095	0.164824
-0.081758	0.524527	0.142394
-0.027650	0.183015	0.136881
-0.259009	0.450585	0.204123
-0.092951	0.289985	0.197350
-0.166189	0.433720	0.268505
-0.123417	0.386091	0.230733
-0.162654	0.393739	0.280413
0.045527	0.801975	0.308841
-0.179212	0.493104	0.242534
-0.104198	0.358801	0.166899
-0.079755	0.563921	0.243802
-0.152692	0.545178	0.252626
0.114232	0.767666	0.322453
0.165742	1.577708	0.557345
-0.048293	0.599341	0.217163
-0.228362	0.275689	0.285892
-0.264037	0.742667	0.404836
-0.081566	0.515778	0.303146
-0.096494	0.085832	-0.016837
-0.059147	0.222254	0.376185
-0.237531	0.468031	0.258391
-0.202814	0.565066	0.414636
-0.105797	0.503055	0.310229
-0.055535	0.519815	0.255054
-0.062743	0.454751	0.447064
-0.213471	0.232616	0.105270
-0.081928	0.503824	0.217576
0.060113	0.820272	0.216606
-0.123456	0.474557	0.243569
-0.067221	0.583397	0.514602
0.070646	-0.487853	-0.218327
0.153947	-0.494560	-0.068944
0.151605	-0.152105	0.086849
0.094333	-0.382850	-0.289561
0.034249	-0.689243	-0.408112
-0.012188	-0.466029	-0.095906
-0.050915	-0.531626	-0.222367
0.031156	-0.637054	-0.317987
-0.119864	-0.456377	-0.095164
0.043258	-0.490186	-0.162925
0.010313	-0.336116	-0.129355
0.073665	-0.657839	-0.265124
-0.039914	-0.224291	-0.123501
0.109315	-0.502390	-0.015090
0.003187	-0.521766	-0.230811
0.382634	-1.119808	-0.354344
0.729106	-2.044276	-0.399897
0.524533	-2.562808	-0.043363
0.622585	-2.455574	-0.007255
0.633211	-2.434523	-0.281539
0.496780	-2.346548	-0.431501
0.683989	-2.277023	-0.411369
0.477630	-2.183892	-0.419132
0.775375	-2.434602	-0.005931
0.627329	-2.313261	-0.023136
0.723809	-2.585060	-0.062594
0.476431	-2.351250	-0.281138
0.464343	-2.432937	-0.351221
0.129240	-1.363896	-0.299286
0.190885	-1.307908	-0.624763
0.196201	-1.512907	-0.304925
0.301397	-1.284803	-0.409765
0.357833	-1.495278	-0.356538
0.052072	-1.151518	-0.257363
0.335166	-1.458116	-0.278682
0.259251	-1.531144	-0.505081
0.356190	-1.566306	-0.332140
0.243020	-1.365621	-0.364575
0.363386	-1.748884	-0.282928
0.426206	-1.759222	-0.250989
0.079676	-1.563599	-0.469789
0.183397	-1.063413	-0.104331
0.400921	-1.452971	-0.209103
0.322190	-1.572294	-0.240293
0.425530	-1.392068	-0.458966
0.395776	-1.500599	-0.100988
0.513296	-1.895185	-0.379398
0.017509	-0.706775	-0.238948
0.040530	-0.681007	-0.254352
-0.096693	-0.334442	0.035142
0.118843	-0.819429	-0.499649
0.025194	-0.558751	-0.156895
0.175269	-0.739135	-0.428077
0.155771	-0.673797	-0.401365
-0.019591	-0.456880	-0.261243
0.062663	-0.249090	0.140143
0.062294	-0.450590	-0.212782
0.305752	-0.283398	0.035633
0.214215	-0.950400	-0.329509
0.204019	-0.450798	-0.176399
0.117099	-0.630764	-0.254736
0.115904	-0.568562	-0.362173
0.174296	-0.318732	-0.013586
-0.015647	-0.668177	-0.160457
0.111157	-0.629816	-0.281766
0.207719	-0.566555	-0.248828
-0.036636	-0.296428	-0.331103
0.267494	-1.390828	-0.378319
0.619592	-1.424464	-0.242096
0.361528	-1.521208	-0.101713
0.389620	-1.340806	-0.370092
0.284983	-0.933322	-0.042530
0.260815	-1.151710	-0.530741
0.275900	-1.496979	-0.364083
0.191735	-1.251132	-0.516979
0.441305	-1.664138	-0.756537
0.502616	-1.488663	-0.673072
-0.079547	-0.618046	-0.389308
0.142815	-0.400347	-0.384814
-0.023082	1.176293	0.345671
0.439640	2.750824	0.290477
0.532027	-2.348773	-0.267734
0.922920	-2.787718	0.147157
0.437221	-2.597013	-0.164832
0.587490	2.870168	0.240405
0.649479	-3.012663	0.019693
0.465423	-2.231191	-0.646442
0.422658	-2.543313	0.017085
0.555760	-2.141694	-0.476032
0.721306	-2.283051	-0.334149
0.810287	-2.411438	-0.260375
0.316023	-1.438198	-0.522353
0.362620	-1.443911	-0.393074
-0.036710	-0.544803	-0.107312
0.011802	-0.425515	-0.484071
0.070579	-0.310716	-0.055072
0.072141	-0.599435	-0.271786
-0.007309	-0.470625	-0.276570
0.373193	-1.495550	-0.625828
0.254445	-1.098735	-0.427808
0.246022	-1.392233	-0.335236
0.224980	-1.435554	-0.301743
0.239424	-1.505713	-0.479358
0.211982	-1.655232	-0.325092
0.135808	-1.459717	-0.208597
-0.003227	-0.488516	-0.100585
0.243034	-1.043365	-0.522956
0.132132	-0.234413	0.157734
0.024981	-0.636913	-0.314590
-0.031358	-0.526861	-0.146578
-0.008681	-0.502990	-0.226539
-0.058795	-0.921174	-0.388952
0.042987	-0.482723	0.018960
0.035558	-0.446213	-0.327010
0.306579	-1.536499	-0.399417
0.311604	-1.466096	-0.329183
0.287149	-1.359055	-0.764770
0.214260	-1.337465	-0.528672
0.263813	-1.568339	-0.376576
0.486341	-1.517192	-0.577538
0.380422	-1.335879	-0.397277
0.163152	-1.307058	-0.619117
0.269598	-1.472334	-0.306126
0.309192	-1.495271	-0.347181
0.146711	-1.248979	-0.378607
0.155736	-1.414289	-0.596943
0.272374	-1.642006	-0.703790
0.166675	-1.308658	-0.792416
0.016471	-0.335283	-0.020361
-0.199912	-0.564330	-0.274242
0.098995	-0.603128	-0.223233
-0.005548	-0.516912	-0.233063
-0.101067	-0.484053	-0.292725
-0.059402	-0.507074	-0.233204
-0.266454	0.390896	0.100573
-0.056132	0.271425	0.030465
-0.041684	0.073478	0.074707
-0.115881	0.552110	0.340037
0.005992	0.612703	0.357861
-0.053430	0.427463	0.427817
0.036036	0.557603	0.377126
-0.118696	0.630443	0.609059
-0.131310	-0.376651	-0.175034
-0.005095	-0.494701	-0.270952
0.410076	-1.567487	-0.748537
0.432952	-1.468585	-0.312314
0.603486	-1.662981	-0.387707
0.428215	-1.279187	-0.347202
0.420181	-1.357795	-0.607411
0.056826	-0.454726	-0.024642
0.270434	-0.598718	-0.303689
0.064739	-0.665398	-0.150676
0.169608	-0.548115	-0.192512
0.562357	-1.424985	-0.611640
0.389243	-1.459985	-0.440432
0.470017	-1.552038	-0.552880
0.518537	-1.624977	-0.502084
0.423930	-1.540272	-0.429110
0.192775	-0.395767	-0.172643
-0.187372	-0.231897	-0.063732
0.270084	-0.714855	-0.367739
0.187379	-0.666067	-0.449075
-0.128669	-0.066312	0.222817
0.203312	-0.814580	-0.331028
0.128535	-1.352089	-0.307220
0.107675	-1.159017	-0.325794
0.377986	-1.634630	-0.353972
0.233900	-1.549097	-0.683534
0.406482	-1.668596	-0.557509
0.215745	-1.580265	-0.285442
0.273987	-1.340465	-0.428086
0.361536	-1.369860	-0.218419
0.319137	-1.405538	-0.654418
0.674599	-2.489737	-0.113689
0.573615	-2.121893	-0.384639
0.446471	-2.389993	-0.385067
0.537036	-2.860064	0.187328
0.535226	2.883835	0.305129
-0.155310	1.314465	0.509477
-0.058345	1.499156	0.451660
0.023682	1.487940	0.602557
-0.081046	1.563557	0.742563
-0.201903	1.290767	0.532535
-0.146681	1.406856	0.630237
-0.005758	1.559892	0.599994
-0.045534	1.609735	0.465533
0.020136	1.617419	0.506592
0.081437	1.511457	0.513734
-0.053386	1.338701	0.533743
-0.054988	1.549605	0.432845
-0.201345	1.101969	0.611975
-0.117572	1.407868	0.376838
0.017623	1.530444	0.510245
0.203896	1.579059	0.395961
-0.007446	1.449564	0.505718
-0.013479	1.621551	0.566574
-0.080619	1.465696	0.290498
0.033477	1.268940	0.625720
0.047661	1.391945	0.446401
-0.168815	1.346337	0.530404
0.160673	1.152444	0.414526
-0.316037	0.479233	0.520855
