#Frame             a1           a2
     246      82.4262      59.5301
     247      66.6487      40.9492
     248      74.7407      55.2355
     249      69.1192      55.6386
     250      73.4025      61.8734
     251      74.4320      76.1262
     252      80.0742      78.9054
     253      74.8319      73.1346
     254      53.4877     113.4300
     255      47.8848      96.6019
     256      36.6954     106.7930
     257      37.7990     117.8098
     258      44.8783      98.2160
     259      40.8238      97.6389
     260      51.4679      94.4068
     261      52.9851     102.2679
     262      61.5256      94.6305
     263      66.3692      94.7275
     264      61.8728     100.4749
     265      65.0994      98.6047
     266      63.4624     103.3150
     267      66.7548      87.1706
     268      52.9426      94.6183
     269      67.6318      97.1583
     270      70.8092      82.1901
     271      73.0906      93.7544
     272      69.8537      85.7423
     273      58.3919     109.0174
     274      34.0255      87.9605
     275      39.6156      91.4737
     276      40.7975      79.9535
     277      37.6283      78.1848
     278      37.8287      76.5237
     279      43.8787      80.5929
     280      46.1681      73.2622
     281      36.6208      99.3346
     282      45.2968      85.2374
     283      40.1271      89.3243
     284      44.7666      86.0056
     285      42.4022      92.2207
     286      38.1699      85.7202
     287      41.6750     101.6793
     288      46.2523      88.8970
     289      34.0116      96.0984
     290      66.1253     103.0232
     291      61.4285     103.4785
     292      64.3968      96.1227
     293      62.3229      95.1082
     294      56.9362      96.3096
     295      67.9681     100.6665
     296      68.5335      80.6115
     297      73.1856      89.3734
     298      57.5550      94.5345
     299      71.4724      64.2829
     300      73.9672      70.7745
     301      74.0537      68.8864
     302      80.7838      76.1317
     303      74.6641      67.5406
     304      76.2896      79.9412
     305      72.0115      74.7355
     306      77.3956      79.1092
     307      72.5103      71.4801
     308      72.9481      69.6227
     309      78.6891      59.2094
     310      69.3629      67.5153
     311      77.3894      77.6527
     312      77.0761      63.8616
     313      79.8089      71.4631
     314      77.2604      63.4598
     315      74.5781      67.1106
     316      75.3029      68.7659
     317      62.0739      93.2824
     318      48.2725      94.0968
     319      58.7120     111.3984
     320      62.8447      76.0794
     321      64.7746      88.5856
     322      55.6457     105.2960
     323      52.1595      97.0280
     324      47.3954     115.7585
     325      42.5650     103.4285
     326      47.2773      97.2669
     327      40.0063      90.1931
     328      39.9806      92.8675
     329      44.5537     104.4892
     330      33.0634     105.6204
     331      37.1981      97.5282
     332      45.8443      95.0512
     333      38.9038      95.2362
     334      66.0197      86.9173
     335      72.1805      92.7720
     336      67.2825      93.4486
     337      75.5861      70.2998
     338      73.5613      74.7873
     339      72.1152      78.5427
     340      70.5068      80.5361
     341      72.2630      75.5624
     342      74.6403      57.6075
     343      70.4104      57.1186
     344      74.0426      79.2187
     345      81.9248      51.0863
     346      70.4506      92.3944
     347      71.4137      73.8700
     348      72.3230      86.4681
     349      65.3933      43.4602
     350      72.5405      52.4055
     351      69.5471      50.0181
     352      61.3361      51.4531
     353      52.1798      38.3209
     354      54.8685      52.4575
     355      61.9261      48.0779
     356      56.8209      45.2605
     357      64.0571      57.6841
     358      54.5961      61.0069
     359      54.5523      48.2654
     360      68.8069      49.9919
     361      75.1989      58.1508
     362      70.0085      43.9259
     363      76.4187      80.6663
     364      63.4441      93.6313
     365      52.8164     103.4013
     366      69.0569      82.0829
     367      69.7469      85.8576
     368      71.1540      87.6163
     369      67.2010      91.1399
     370      37.2477      69.4106
     371      45.7734      73.7272
     372      35.4432      74.4906
     373      35.9914      68.0875
     374      57.7030      84.6222
     375      40.8098      91.0857
     376      46.8670      87.9652
     377      44.8240      92.3059
     378      43.1115      98.8688
     379      34.3070      93.0702
     380      37.8146      88.6188
     381      29.8621      99.1530
     382      39.2348      80.9635
     383      41.9734      75.7123
     384      34.5885      97.9126
     385      41.5928      76.8342
     386      38.9239      75.8362
     387      55.9744      92.5685
     388      43.0755     112.6668
     389      45.9249      75.8275
     390      37.3461      69.6984
     391      46.7693      76.9338
     392      44.0212      96.2596
     393      44.9397     113.2378
     394      45.4967      96.2048
     395      40.7528     107.1449
     396      52.3777      93.0757
     397      52.8143      91.2104
     398      54.7169      94.5490
     399      61.2509      97.8491
     400      62.3350     103.2362
     401      65.0673      86.6271
     402      50.5082     111.6059
     403      54.0817     101.9148
     404      68.4537     107.3480
     405      63.7292      90.9764
     406      78.3495      90.8937
     407      59.9669     101.2778
     408      65.8739      85.0661
     409      67.1748      97.7454
     410      57.2727     102.5854
     411      57.9363      98.5356
     412      61.6840      99.5724
     413      61.4419      93.4441
     414      65.2376     101.8602
     415      63.9360      91.7281
     416      57.9153      94.1960
     417      70.1693      75.6837
     418      67.9133      75.5929
     419      70.7982      71.9665
     420      73.6999      81.3519
     421      78.4241      58.0427
     422      80.0227      69.9312
     423      64.7893      71.0933
     424      68.1714     105.1599
     425      73.4024      88.5423
     426      65.5771      95.3875
     427      69.7209      92.8979
     428      56.5303     102.9628
     429      60.1961      88.8082
     430      62.6159      87.1086
     431      72.9862      90.7303
     432      43.1290      90.5234
     433      47.0021      93.5589
     434      51.9939     104.7363
     435      34.9224      80.6312
     436      45.4369      89.0683
     437      36.1441      77.2275
     438      40.0854      78.3169
     439      38.3848      75.9557
     440      39.1561      70.2675
     441      38.2266      79.9042
     442      40.7946      73.6792
     443      37.8929      72.6718
     444      32.6647      70.9798
     445      54.1102      54.9354
     446      66.7379      69.9239
     447      52.7870      50.6327
     448      51.4617      56.8998
     449      49.2854      55.4173
     450      40.6252      79.5308
     451      36.5415      75.2678
     452      40.0786      67.7515
     453      45.6946      72.0776
     454      39.8752      63.8532
     455      43.0533      90.5762
     456      44.3149      75.8117
     457      41.3823      64.0077
     458      41.1597      68.5123
     459      42.5786      63.9350
     460      39.0606      64.8171
     461      39.9550      77.3003
     462      50.0677      82.2323
     463      42.0370      76.7425
     464      38.6560      82.2740
     465      41.2287      75.6624
     466      43.6754      74.6024
     467      43.0085      72.5279
     468      35.6110      77.6192
     469      44.1285      80.4215
     470      39.0016      71.3773
     471      35.6196      77.4525
     472      29.6023      82.0846
     473      34.8299      81.9006
     474      41.8327      74.2523
     475      42.0127      80.3982
     476      28.6961      92.7954
     477      39.6573      90.6034
     478      45.8829      89.9057
     479      30.7435      71.6994
     480      39.8892      97.3502
     481      43.1478      87.1142
     482      38.5576     102.3120
     483      41.8911      93.5561
     484      52.7472     105.8037
     485      69.6932      89.0908
     486      64.8047      90.1910
     487      62.0788      90.2860
     488      70.0316      87.1399
     489      67.6958      88.7631
     490      67.5156      85.8769
     491      71.5476      69.8774
     492      64.0877      88.7382
     493      66.9123      79.5420
     494      69.9532      92.1238
     495      75.9686      88.6591
     496      67.4035      97.8378
     497      45.6017      92.0722
     498      51.9941      98.5088
     499      42.3812     101.0089
     500      42.9407     105.1419
     501      41.2149     100.3882
     502      34.4722      92.4883
     503      33.8895     107.7802
     504      41.8602     102.4692
     505      69.4931      81.8337
     506      66.0866      89.2193
     507      68.3828      99.4596
     508      67.5641      97.8210
     509      60.2481      78.1781
     510      54.0550     110.9024
     511      67.2695      47.0316
     512      72.4973      44.5657
     513      63.8462      48.1042
     514      70.0192      48.3355
     515      68.6551      43.4834
     516      72.2673      52.7867
     517      78.7384      49.6064
     518      64.8815      62.8851
     519      64.9317     101.3560
     520      64.0326     101.5906
     521      60.5442     102.4398
     522      70.2335      93.5487
     523      70.5863      88.9470
     524      72.4030      92.5030
     525      60.8352     106.7056
     526      59.4525     103.8231
     527      72.4094      77.3985
     528      71.4893      98.3825
     529      79.6063      89.4362
     530      63.6871     103.6365
     531      59.5388      94.4270
     532      58.2206     101.0389
     533      57.9665      98.0245
     534      54.4012     103.4465
     535      42.8823      98.4281
     536      65.2370      81.8755
     537      68.1330      94.8892
     538      58.9097      99.6722
     539      74.2091      86.4658
     540      70.0945      88.1251
     541      69.3577      90.0534
     542      76.2279      90.8832
     543      72.9525      78.9779
     544      71.9845      85.0698
     545      65.6765      94.3305
     546      70.9938      95.4054
     547      72.9124      89.2797
     548      64.1300      95.0760
     549      81.6923      59.8328
     550      76.7909      56.2826
     551      68.0368      52.8132
     552      74.6307      61.2295
     553      66.1214      40.1811
     554      58.2299      51.6465
     555      58.4459      53.7342
     556      62.3125      51.0872
     557      54.3158      52.7606
     558      61.6466      52.3245
     559      53.8517      60.4509
     560      57.1988      43.7196
     561      67.1089      48.9727
     562      68.5956      38.5823
     563      75.0422      62.3314
     564      75.0992      55.3855
     565      67.9130      56.3467
     566      67.8209      47.4433
     567      70.6938      48.1972
     568      71.9323      48.4599
     569      69.2230      57.5763
     570      77.2108      62.5583
     571      70.2791      67.0641
     572      82.6618      60.7761
     573      76.8413      82.1149
     574      71.5338      80.8692
     575      45.4141      92.2868
     576      41.3150      99.8997
     577      38.4974      99.2552
     578      38.6816     106.4341
     579      62.3868      89.4677
     580      65.7713      82.5575
     581      73.5799      82.8185
     582      69.0151      62.1062
     583      83.5083      60.2351
     584      77.0653      64.7763
     585      66.0551      85.3230
     586      84.3566      54.9865
     587      75.9511      61.6037
     588      74.7129      70.0472
     589      71.9563      71.3422
     590      75.6068      53.7019
     591      80.6679      62.5072
     592      64.9984      67.4684
     593      71.8140      76.2111
     594      73.3895      63.7010
     595      75.3559      67.5078
     596      79.4217      69.3733
     597      76.0531      65.7454
     598      75.6860      89.2343
     599      62.9195     105.9689
     600      53.4303     109.0876
     601      63.5823     107.8799
     602      68.1649      86.6278
     603      68.8736      93.1154
     604      65.0573      92.5589
     605      70.1157      96.6759
     606      70.3356      82.8449
     607      55.9189      94.6661
     608      70.5352      90.3529
     609      75.6134      78.6171
     610      73.6286      88.5986
     611      76.2376      54.4005
     612      69.0237      88.8791
     613      48.6980     107.9033
     614      53.7346     107.7068
     615      64.5176     100.1380
     616      37.4637      94.3421
     617      40.0674      81.4135
     618      43.4493      87.9156
     619      40.9458      90.6123
     620      40.5730      82.7100
     621      38.4640      89.3862
     622      34.1386      76.2294
     623      39.2207      74.9847
     624      40.6269      74.1241
     625      44.8844      81.3519
     626      57.9970      52.4062
     627      52.2240      67.3267
     628      55.7279      56.2238
     629      51.6105      52.0362
     630      49.9042     110.3086
     631      62.5271      97.5580
     632      62.8004      91.8565
     633      82.4753      58.1908
     634      73.0310      62.5818
     635      71.0350      66.0930
     636      69.6374      65.3124
     637      69.4426      81.6576
     638      69.1426      60.4076
     639      67.0360      68.9020
     640      77.6821      55.1334
     641      72.5024      78.3446
     642      73.5754      59.7097
     643      69.1790      70.8533
     644      73.3525      64.4241
     645      74.2271      62.9760
     646      73.1218      61.9880
     647      69.0711      43.8746
     648      64.8406      49.9999
     649      38.2787      97.2925
     650      39.1379     113.5536
     651      50.6669      98.6106
     652      70.2193      90.7821
     653      47.9040     101.9986
     654      38.8216      95.0454
     655      40.7589      89.3586
     656      35.9840      87.9059
     657      36.1958      83.6151
     658      37.8068      68.3376
     659      57.5137      56.7441
     660      44.7243      80.8243
     661      49.4369      81.6200
     662      41.5637      76.3702
     663      42.7380      76.4736
     664      37.0522      74.7451
     665      40.7854      84.1759
     666      47.0066      79.9750
     667      44.9832      73.9703
     668      52.3207      62.7212
     669      56.6557      56.7293
     670      57.7860      67.3222
     671      55.0828      59.3433
     672      45.9911      58.2507
     673      62.0475      65.4027
     674      49.6934      50.9428
     675      52.9517      59.8296
     676      59.7474      58.5932
     677      57.7737      66.6285
     678      51.4001      60.9552
     679      57.7721      53.1201
     680      59.9706      54.8374
     681      54.1424      51.9445
     682      46.1702      68.8484
     683      56.1947      62.2580
     684      54.2825      62.7453
     685      47.8983      80.2054
     686      42.0101      83.7722
     687      53.0567      89.0409
     688      46.4508      81.5513
     689      56.1679      56.9687
     690      71.2609      50.9082
     691      71.6357      45.2718
     692      67.1934      38.9611
     693      65.9917      46.9012
     694      66.4036      48.2721
     695      88.0914      58.0480
     696      72.4884      60.4166
     697      71.7259      81.9551
     698      70.5055      83.1785
     699      50.8179     101.5003
     700      44.4481     101.9581
     701      43.7525      90.9665
     702      44.6557     107.1950
     703      44.5521      99.9293
     704      45.2250      86.6950
     705      43.2197      75.1611
     706      35.8029      81.7662
     707      41.3922      89.7830
     708      42.1710      76.9512
     709      50.0689      77.6822
     710      42.6428      88.7607
     711      40.5641      75.7451
     712      45.4037      65.6596
     713      48.6653     101.7137
     714      49.9692      97.6949
     715      54.0263     109.6396
     716      45.4458      94.0934
     717      38.8498     102.7272
     718      45.7717     112.8186
     719      45.8896      97.4963
     720      43.5255      96.3934
     721      43.7291      95.1501
     722      45.6359     101.0631
     723      46.4399      99.9738
     724      37.0289     102.8564
     725      46.4194     101.3579
     726      41.1842      95.3718
     727      35.7780      83.7719
     728      47.0105      87.1016
     729      43.3250      86.8045
     730      40.6928      91.2188
     731      45.0492      71.4391
     732      43.1546      72.2849
     733      47.3469      79.3823
     734      45.9416      90.1477
     735      44.8640      79.7983
     736      41.8357      81.1428
     737      54.0651      60.4287
     738      53.3142      60.9629
     739      54.7028      52.4278
     740      61.9113      63.7533
     741      50.0804      54.2271
     742      51.5787      58.8234
     743      55.3899      51.3620
     744      60.9684      53.2572
     745      54.3018      51.8061
     746      53.9775      61.2120
     747      50.6635      51.1938
     748      68.4418      49.0075
     749      70.2733      78.2240
     750      76.9211      59.2232
     751      76.3797      65.6570
     752      78.5853      71.4463
     753      78.2938      58.7142
     754      71.9951      61.3752
     755      76.3057      68.6778
     756      77.7628      82.4637
     757      65.5639      81.3420
     758      65.4117      92.9883
     759      70.4996      93.0609
     760      68.4620      98.0423
     761      74.2261      86.5656
     762      73.6280      92.5949
     763      68.5403      88.8862
     764      52.2505     103.6161
     765      45.8837      85.5043
     766      51.4741     118.1602
     767      44.9045     104.2059
     768      46.6469     101.5291
     769      47.7806      89.3356
     770      46.2126     111.1578
     771      36.2536     108.3843
     772      43.8998      99.6951
     773      43.4350     102.1897
     774      50.0066     126.4028
     775      49.6779      97.0572
     776      63.2973      99.9196
     777      57.8922      99.7212
     778      63.5051     106.3990
     779      45.5434     107.8803
     780      47.5887     102.3514
     781      71.9473      92.6612
     782      57.5965     107.0791
     783      59.8377     101.8188
     784      47.2530     113.7649
     785      43.7063      97.3162
     786      50.6126     120.8758
     787      52.1992     115.2841
     788      44.9403     120.1531
     789      49.1125     109.1795
     790      42.5860     111.0648
     791      46.9776     103.0516
     792      55.4462     125.4493
     793      49.3100      99.9918
     794      50.0497     119.8527
     795      41.1607     113.4559
     796      38.2552     101.2660
     797      37.9236      90.4792
     798      38.2549     112.3526
     799      36.9678      82.8675
     800      41.7399      81.4179
     801      37.9137      80.7789
     802      35.0464      90.8020
     803      45.6412      86.6169
     804      44.1266      90.8223
     805      39.5480      66.6126
     806      51.3861      49.5658
     807      55.1937      64.3777
     808      51.3696      49.1531
     809      55.2897      59.2732
     810      53.7813      55.2527
     811      59.6647      59.4086
     812      48.4662      54.3514
     813      74.6337      46.8222
     814      68.9086      36.4742
     815      69.6955      44.0108
     816      68.3070      38.1386
     817      75.9482      53.1046
     818      70.3445      46.2169
     819      77.8648      58.9061
     820      72.6136      60.5513
     821      55.0557      58.0835
     822      58.6161      49.7988
     823      69.0868      49.1955
     824      60.5031      45.5596
     825      51.7223      63.8240
     826      63.7342      69.7881
     827      50.8737      64.6089
     828      57.3520      63.3974
     829      43.9526      84.9417
     830      42.5993      89.1375
     831      38.3064      85.3642
     832      40.5909      78.5448
     833      39.1475      79.8016
     834      39.8424      77.1430
     835      41.5847      75.3099
     836      56.2035      83.2794
     837      39.3334      77.1598
     838      39.7103      80.0838
     839      59.5377      95.5705
     840      64.4157      80.3324
     841      58.4849      96.6997
     842      45.1230     100.5723
     843      39.1479      89.1480
     844      42.2101     104.2059
     845      50.2532     114.2520
     846      29.0798      99.7428
     847      47.9006     106.5067
     848      70.1064      87.3329
     849      66.9321      87.3778
     850      59.6176      98.9764
     851      57.3075      90.1646
